Date,Occupied
2015-07-01,11
2015-07-02,18
2015-07-03,26
2015-07-04,39
2015-07-05,50
2015-07-06,53
2015-07-07,58
2015-07-08,58
2015-07-09,66
2015-07-10,67
2015-07-11,69
2015-07-12,67
2015-07-13,69
2015-07-14,70
2015-07-15,70
2015-07-16,69
2015-07-17,70
2015-07-18,70
2015-07-19,67
2015-07-20,68
2015-07-21,68
2015-07-22,68
2015-07-23,65
2015-07-24,69
2015-07-25,69
2015-07-26,66
2015-07-27,69
2015-07-28,67
2015-07-29,69
2015-07-30,69
2015-07-31,69
2015-08-01,68
2015-08-02,66
2015-08-03,70
2015-08-04,69
2015-08-05,70
2015-08-06,68
2015-08-07,70
2015-08-08,69
2015-08-09,70
2015-08-10,70
2015-08-11,70
2015-08-12,70
2015-08-13,70
2015-08-14,70
2015-08-15,68
2015-08-16,69
2015-08-17,69
2015-08-18,70
2015-08-19,70
2015-08-20,70
2015-08-21,70
2015-08-22,70
2015-08-23,70
2015-08-24,70
2015-08-25,70
2015-08-26,70
2015-08-27,70
2015-08-28,70
2015-08-29,70
2015-08-30,61
2015-08-31,61
2015-09-01,70
2015-09-02,70
2015-09-03,70
2015-09-04,70
2015-09-05,70
2015-09-06,68
2015-09-07,69
2015-09-08,69
2015-09-09,68
2015-09-10,69
2015-09-11,70
2015-09-12,70
2015-09-13,70
2015-09-14,70
2015-09-15,70
2015-09-16,70
2015-09-17,70
2015-09-18,66
2015-09-19,70
2015-09-20,70
2015-09-21,70
2015-09-22,70
2015-09-23,68
2015-09-24,70
2015-09-25,62
2015-09-26,70
2015-09-27,70
2015-09-28,70
2015-09-29,70
2015-09-30,70
2015-10-01,69
2015-10-02,69
2015-10-03,68
2015-10-04,68
2015-10-05,68
2015-10-06,70
2015-10-07,70
2015-10-08,68
2015-10-09,69
2015-10-10,70
2015-10-11,57
2015-10-12,66
2015-10-13,56
2015-10-14,55
2015-10-15,69
2015-10-16,67
2015-10-17,66
2015-10-18,66
2015-10-19,65
2015-10-20,67
2015-10-21,69
2015-10-22,69
2015-10-23,70
2015-10-24,54
2015-10-25,46
2015-10-26,50
2015-10-27,56
2015-10-28,52
2015-10-29,49
2015-10-30,52
2015-10-31,65
2015-11-01,37
2015-11-02,29
2015-11-03,55
2015-11-04,52
2015-11-05,50
2015-11-06,52
2015-11-07,63
2015-11-08,63
2015-11-09,68
2015-11-10,67
2015-11-11,69
2015-11-12,70
2015-11-13,70
2015-11-14,70
2015-11-15,24
2015-11-16,30
2015-11-17,31
2015-11-18,65
2015-11-19,59
2015-11-20,66
2015-11-21,69
2015-11-22,56
2015-11-23,55
2015-11-24,30
2015-11-25,28
2015-11-26,25
2015-11-27,38
2015-11-28,38
2015-11-29,11
2015-11-30,28
2015-12-01,33
2015-12-02,35
2015-12-03,34
2015-12-04,11
2015-12-05,67
2015-12-06,66
2015-12-07,55
2015-12-08,10
2015-12-09,24
2015-12-10,21
2015-12-11,15
2015-12-12,18
2015-12-13,10
2015-12-14,16
2015-12-15,16
2015-12-16,18
2015-12-17,16
2015-12-18,11
2015-12-19,8
2015-12-20,6
2015-12-21,9
2015-12-22,26
2015-12-23,28
2015-12-24,39
2015-12-25,58
2015-12-26,49
2015-12-27,50
2015-12-28,45
2015-12-29,22
2015-12-30,67
2015-12-31,68
2016-01-01,68
2016-01-02,56
2016-01-03,16
2016-01-04,29
2016-01-05,27
2016-01-06,28
2016-01-07,22
2016-01-08,13
2016-01-09,16
2016-01-10,20
2016-01-11,34
2016-01-12,35
2016-01-13,23
2016-01-14,22
2016-01-15,25
2016-01-16,25
2016-01-17,17
2016-01-18,22
2016-01-19,21
2016-01-20,16
2016-01-21,17
2016-01-22,12
2016-01-23,18
2016-01-24,6
2016-01-25,6
2016-01-26,8
2016-01-27,6
2016-01-28,10
2016-01-29,13
2016-01-30,14
2016-01-31,14
2016-02-01,19
2016-02-02,19
2016-02-03,20
2016-02-04,30
2016-02-05,36
2016-02-06,56
2016-02-07,59
2016-02-08,52
2016-02-09,41
2016-02-10,34
2016-02-11,19
2016-02-12,42
2016-02-13,67
2016-02-14,24
2016-02-15,18
2016-02-16,29
2016-02-17,35
2016-02-18,27
2016-02-19,21
2016-02-20,14
2016-02-21,14
2016-02-22,26
2016-02-23,30
2016-02-24,29
2016-02-25,33
2016-02-26,47
2016-02-27,70
2016-02-28,67
2016-02-29,32
2016-03-01,35
2016-03-02,36
2016-03-03,24
2016-03-04,35
2016-03-05,38
2016-03-06,27
2016-03-07,54
2016-03-08,64
2016-03-09,61
2016-03-10,57
2016-03-11,67
2016-03-12,57
2016-03-13,26
2016-03-14,46
2016-03-15,59
2016-03-16,56
2016-03-17,61
2016-03-18,51
2016-03-19,65
2016-03-20,50
2016-03-21,68
2016-03-22,68
2016-03-23,54
2016-03-24,68
2016-03-25,68
2016-03-26,67
2016-03-27,30
2016-03-28,28
2016-03-29,37
2016-03-30,41
2016-03-31,70
2016-04-01,70
2016-04-02,70
2016-04-03,55
2016-04-04,66
2016-04-05,62
2016-04-06,31
2016-04-07,62
2016-04-08,64
2016-04-09,68
2016-04-10,50
2016-04-11,70
2016-04-12,70
2016-04-13,70
2016-04-14,70
2016-04-15,59
2016-04-16,62
2016-04-17,51
2016-04-18,68
2016-04-19,68
2016-04-20,52
2016-04-21,47
2016-04-22,66
2016-04-23,67
2016-04-24,68
2016-04-25,52
2016-04-26,45
2016-04-27,63
2016-04-28,59
2016-04-29,63
2016-04-30,67
2016-05-01,68
2016-05-02,67
2016-05-03,67
2016-05-04,56
2016-05-05,66
2016-05-06,56
2016-05-07,69
2016-05-08,67
2016-05-09,70
2016-05-10,64
2016-05-11,69
2016-05-12,64
2016-05-13,61
2016-05-14,66
2016-05-15,55
2016-05-16,60
2016-05-17,68
2016-05-18,58
2016-05-19,69
2016-05-20,67
2016-05-21,67
2016-05-22,69
2016-05-23,69
2016-05-24,66
2016-05-25,69
2016-05-26,68
2016-05-27,65
2016-05-28,69
2016-05-29,54
2016-05-30,59
2016-05-31,70
2016-06-01,70
2016-06-02,70
2016-06-03,67
2016-06-04,70
2016-06-05,70
2016-06-06,70
2016-06-07,69
2016-06-08,70
2016-06-09,69
2016-06-10,69
2016-06-11,70
2016-06-12,67
2016-06-13,70
2016-06-14,70
2016-06-15,70
2016-06-16,66
2016-06-17,68
2016-06-18,66
2016-06-19,68
2016-06-20,70
2016-06-21,70
2016-06-22,70
2016-06-23,70
2016-06-24,70
2016-06-25,70
2016-06-26,69
2016-06-27,68
2016-06-28,68
2016-06-29,69
2016-06-30,70
2016-07-01,68
2016-07-02,70
2016-07-03,64
2016-07-04,69
2016-07-05,69
2016-07-06,67
2016-07-07,69
2016-07-08,70
2016-07-09,70
2016-07-10,67
2016-07-11,67
2016-07-12,69
2016-07-13,69
2016-07-14,66
2016-07-15,70
2016-07-16,70
2016-07-17,67
2016-07-18,70
2016-07-19,69
2016-07-20,69
2016-07-21,70
2016-07-22,70
2016-07-23,70
2016-07-24,69
2016-07-25,68
2016-07-26,68
2016-07-27,67
2016-07-28,68
2016-07-29,68
2016-07-30,69
2016-07-31,62
2016-08-01,68
2016-08-02,70
2016-08-03,70
2016-08-04,70
2016-08-05,70
2016-08-06,69
2016-08-07,67
2016-08-08,69
2016-08-09,69
2016-08-10,69
2016-08-11,68
2016-08-12,69
2016-08-13,69
2016-08-14,69
2016-08-15,70
2016-08-16,69
2016-08-17,69
2016-08-18,69
2016-08-19,68
2016-08-20,69
2016-08-21,68
2016-08-22,68
2016-08-23,70
2016-08-24,69
2016-08-25,70
2016-08-26,70
2016-08-27,70
2016-08-28,65
2016-08-29,70
2016-08-30,70
2016-08-31,68
2016-09-01,70
2016-09-02,68
2016-09-03,69
2016-09-04,68
2016-09-05,67
2016-09-06,67
2016-09-07,67
2016-09-08,68
2016-09-09,70
2016-09-10,69
2016-09-11,70
2016-09-12,69
2016-09-13,70
2016-09-14,65
2016-09-15,70
2016-09-16,70
2016-09-17,70
2016-09-18,70
2016-09-19,64
2016-09-20,68
2016-09-21,68
2016-09-22,68
2016-09-23,68
2016-09-24,70
2016-09-25,55
2016-09-26,69
2016-09-27,66
2016-09-28,69
2016-09-29,69
2016-09-30,69
2016-10-01,67
2016-10-02,69
2016-10-03,67
2016-10-04,69
2016-10-05,66
2016-10-06,66
2016-10-07,67
2016-10-08,68
2016-10-09,68
2016-10-10,61
2016-10-11,63
2016-10-12,69
