Date,Assigned_Type_A_Count,Reserved_Type_A_Count
2015-07-01,12,19
2015-07-02,22,30
2015-07-03,40,50
2015-07-04,59,69
2015-07-05,63,77
2015-07-06,68,83
2015-07-07,78,92
2015-07-08,84,96
2015-07-09,92,104
2015-07-10,93,101
2015-07-11,98,104
2015-07-12,91,97
2015-07-13,90,97
2015-07-14,92,102
2015-07-15,118,137
2015-07-16,119,142
2015-07-17,95,119
2015-07-18,92,115
2015-07-19,83,103
2015-07-20,85,102
2015-07-21,86,107
2015-07-22,87,107
2015-07-23,84,104
2015-07-24,92,111
2015-07-25,103,124
2015-07-26,98,118
2015-07-27,103,131
2015-07-28,100,127
2015-07-29,102,138
2015-07-30,107,148
2015-07-31,107,135
2015-08-01,109,135
2015-08-02,98,119
2015-08-03,92,108
2015-08-04,90,103
2015-08-05,93,108
2015-08-06,92,104
2015-08-07,95,111
2015-08-08,95,110
2015-08-09,99,121
2015-08-10,97,114
2015-08-11,107,123
2015-08-12,106,122
2015-08-13,106,123
2015-08-14,101,119
2015-08-15,100,115
2015-08-16,98,113
2015-08-17,109,124
2015-08-18,105,116
2015-08-19,106,121
2015-08-20,102,111
2015-08-21,104,112
2015-08-22,102,112
2015-08-23,108,120
2015-08-24,103,115
2015-08-25,107,117
2015-08-26,102,112
2015-08-27,109,118
2015-08-28,112,125
2015-08-29,105,127
2015-08-30,85,106
2015-08-31,83,97
2015-09-01,97,112
2015-09-02,138,154
2015-09-03,151,163
2015-09-04,152,173
2015-09-05,165,183
2015-09-06,135,150
2015-09-07,141,155
2015-09-08,145,158
2015-09-09,110,124
2015-09-10,112,125
2015-09-11,107,124
2015-09-12,106,130
2015-09-13,108,126
2015-09-14,109,146
2015-09-15,140,177
2015-09-16,136,150
2015-09-17,226,246
2015-09-18,221,237
2015-09-19,221,242
2015-09-20,131,152
2015-09-21,111,132
2015-09-22,110,133
2015-09-23,101,127
2015-09-24,116,143
2015-09-25,135,159
2015-09-26,136,166
2015-09-27,132,159
2015-09-28,99,126
2015-09-29,101,123
2015-09-30,106,132
2015-10-01,107,139
2015-10-02,106,137
2015-10-03,134,157
2015-10-04,164,192
2015-10-05,144,185
2015-10-06,122,155
2015-10-07,117,148
2015-10-08,135,173
2015-10-09,190,211
2015-10-10,201,241
2015-10-11,189,213
2015-10-12,135,142
2015-10-13,123,131
2015-10-14,118,136
2015-10-15,101,162
2015-10-16,87,148
2015-10-17,72,133
2015-10-18,74,134
2015-10-19,70,114
2015-10-20,71,113
2015-10-21,84,141
2015-10-22,84,142
2015-10-23,82,128
2015-10-24,107,152
2015-10-25,56,87
2015-10-26,63,80
2015-10-27,67,87
2015-10-28,63,78
2015-10-29,61,73
2015-10-30,58,69
2015-10-31,100,123
2015-11-01,52,60
2015-11-02,48,62
2015-11-03,76,97
2015-11-04,73,95
2015-11-05,70,91
2015-11-06,77,99
2015-11-07,99,131
2015-11-08,101,134
2015-11-09,105,143
2015-11-10,106,145
2015-11-11,126,171
2015-11-12,142,200
2015-11-13,143,193
2015-11-14,128,170
2015-11-15,41,49
2015-11-16,52,66
2015-11-17,53,73
2015-11-18,78,116
2015-11-19,71,99
2015-11-20,112,152
2015-11-21,114,189
2015-11-22,80,96
2015-11-23,62,83
2015-11-24,35,56
2015-11-25,32,53
2015-11-26,28,47
2015-11-27,40,59
2015-11-28,43,66
2015-11-29,15,24
2015-11-30,36,48
2015-12-01,40,60
2015-12-02,42,63
2015-12-03,42,68
2015-12-04,20,35
2015-12-05,175,222
2015-12-06,180,231
2015-12-07,156,203
2015-12-08,22,35
2015-12-09,27,45
2015-12-10,23,39
2015-12-11,17,33
2015-12-12,20,41
2015-12-13,13,21
2015-12-14,17,28
2015-12-15,17,31
2015-12-16,19,35
2015-12-17,19,34
2015-12-18,12,26
2015-12-19,36,59
2015-12-20,16,31
2015-12-21,21,46
2015-12-22,50,72
2015-12-23,51,71
2015-12-24,64,91
2015-12-25,85,113
2015-12-26,80,105
2015-12-27,81,103
2015-12-28,77,100
2015-12-29,45,64
2015-12-30,88,121
2015-12-31,84,113
2016-01-01,83,114
2016-01-02,89,118
2016-01-03,22,42
2016-01-04,38,57
2016-01-05,39,63
2016-01-06,39,60
2016-01-07,36,58
2016-01-08,21,34
2016-01-09,28,47
2016-01-10,29,43
2016-01-11,41,55
2016-01-12,43,68
2016-01-13,34,59
2016-01-14,31,67
2016-01-15,33,56
2016-01-16,31,56
2016-01-17,22,37
2016-01-18,27,56
2016-01-19,27,61
2016-01-20,21,62
2016-01-21,22,47
2016-01-22,17,46
2016-01-23,23,55
2016-01-24,11,24
2016-01-25,10,29
2016-01-26,12,48
2016-01-27,10,37
2016-01-28,19,45
2016-01-29,21,35
2016-01-30,22,40
2016-01-31,18,26
