Date,Assigned_Type_A_Count,Reserved_Type_A_Count
2015-07-01,11,18
2015-07-02,18,26
2015-07-03,26,36
2015-07-04,39,49
2015-07-05,50,64
2015-07-06,53,68
2015-07-07,58,72
2015-07-08,58,70
2015-07-09,67,79
2015-07-10,67,75
2015-07-11,69,75
2015-07-12,67,73
2015-07-13,69,76
2015-07-14,70,80
2015-07-15,71,90
2015-07-16,69,92
2015-07-17,70,94
2015-07-18,70,93
2015-07-19,67,87
2015-07-20,69,86
2015-07-21,69,90
2015-07-22,69,89
2015-07-23,66,86
2015-07-24,70,89
2015-07-25,70,91
2015-07-26,67,86
2015-07-27,69,96
2015-07-28,67,93
2015-07-29,69,101
2015-07-30,69,105
2015-07-31,69,93
2015-08-01,68,89
2015-08-02,66,82
2015-08-03,70,83
2015-08-04,69,80
2015-08-05,70,84
2015-08-06,68,79
2015-08-07,70,85
2015-08-08,69,84
2015-08-09,71,93
2015-08-10,71,88
2015-08-11,71,87
2015-08-12,71,86
2015-08-13,70,85
2015-08-14,71,87
2015-08-15,68,81
2015-08-16,69,82
2015-08-17,69,82
2015-08-18,70,79
2015-08-19,70,83
2015-08-20,70,78
2015-08-21,70,77
2015-08-22,70,79
2015-08-23,70,82
2015-08-24,70,82
2015-08-25,70,80
2015-08-26,70,80
2015-08-27,70,79
2015-08-28,70,82
2015-08-29,70,91
2015-08-30,61,81
2015-08-31,61,74
2015-09-01,70,84
2015-09-02,71,86
2015-09-03,70,81
2015-09-04,70,88
2015-09-05,70,87
2015-09-06,68,82
2015-09-07,69,82
2015-09-08,69,81
2015-09-09,68,81
2015-09-10,69,82
2015-09-11,71,88
2015-09-12,73,97
2015-09-13,72,90
2015-09-14,72,109
2015-09-15,72,109
2015-09-16,71,85
2015-09-17,71,91
2015-09-18,67,83
2015-09-19,70,91
2015-09-20,70,91
2015-09-21,70,91
2015-09-22,70,93
2015-09-23,68,92
2015-09-24,70,97
2015-09-25,62,86
2015-09-26,70,100
2015-09-27,70,96
2015-09-28,70,96
2015-09-29,70,91
2015-09-30,70,95
2015-10-01,69,100
2015-10-02,69,99
2015-10-03,68,90
2015-10-04,68,95
2015-10-05,68,107
2015-10-06,70,102
2015-10-07,70,100
2015-10-08,68,105
2015-10-09,69,89
2015-10-10,70,109
2015-10-11,57,81
2015-10-12,66,73
2015-10-13,56,64
2015-10-14,55,73
2015-10-15,69,129
2015-10-16,67,127
2015-10-17,66,126
2015-10-18,66,125
2015-10-19,65,109
2015-10-20,67,108
2015-10-21,69,126
2015-10-22,69,126
2015-10-23,70,115
2015-10-24,54,98
2015-10-25,46,76
2015-10-26,50,66
2015-10-27,56,75
2015-10-28,52,66
2015-10-29,49,60
2015-10-30,52,62
2015-10-31,65,85
2015-11-01,37,44
2015-11-02,29,42
2015-11-03,55,74
2015-11-04,52,72
2015-11-05,50,69
2015-11-06,52,73
2015-11-07,63,93
2015-11-08,63,95
2015-11-09,68,105
2015-11-10,67,105
2015-11-11,69,112
2015-11-12,71,128
2015-11-13,71,120
2015-11-14,71,113
2015-11-15,24,32
2015-11-16,30,42
2015-11-17,31,49
2015-11-18,65,101
2015-11-19,59,85
2015-11-20,66,106
2015-11-21,69,143
2015-11-22,57,73
2015-11-23,55,75
2015-11-24,30,51
2015-11-25,28,49
2015-11-26,25,44
2015-11-27,38,57
2015-11-28,38,61
2015-11-29,11,20
2015-11-30,28,40
2015-12-01,33,53
2015-12-02,35,56
2015-12-03,34,60
2015-12-04,11,26
2015-12-05,67,114
2015-12-06,66,117
2015-12-07,55,102
2015-12-08,10,23
2015-12-09,24,42
2015-12-10,21,37
2015-12-11,15,31
2015-12-12,18,39
2015-12-13,10,18
2015-12-14,16,27
2015-12-15,16,29
2015-12-16,18,33
2015-12-17,16,30
2015-12-18,11,24
2015-12-19,8,31
2015-12-20,6,21
2015-12-21,9,34
2015-12-22,26,48
2015-12-23,28,48
2015-12-24,39,66
2015-12-25,58,86
2015-12-26,49,74
2015-12-27,50,72
2015-12-28,45,66
2015-12-29,22,39
2015-12-30,67,100
2015-12-31,68,97
2016-01-01,68,99
2016-01-02,56,85
2016-01-03,16,36
2016-01-04,29,48
2016-01-05,27,51
2016-01-06,28,49
2016-01-07,22,44
2016-01-08,13,26
2016-01-09,16,35
2016-01-10,20,34
2016-01-11,34,48
2016-01-12,35,60
2016-01-13,23,48
2016-01-14,22,58
2016-01-15,25,47
2016-01-16,25,50
2016-01-17,17,32
2016-01-18,22,51
2016-01-19,21,55
2016-01-20,16,57
2016-01-21,17,41
2016-01-22,12,39
2016-01-23,18,50
2016-01-24,6,19
2016-01-25,6,25
2016-01-26,8,44
2016-01-27,6,32
2016-01-28,10,36
2016-01-29,13,27
2016-01-30,14,32
2016-01-31,14,22
2016-02-01,19,44
2016-02-02,19,51
2016-02-03,20,53
2016-02-04,30,69
2016-02-05,37,68
2016-02-06,57,92
2016-02-07,59,86
2016-02-08,52,77
2016-02-09,41,59
2016-02-10,34,63
2016-02-11,19,46
2016-02-12,42,75
2016-02-13,67,105
2016-02-14,24,48
2016-02-15,18,47
2016-02-16,29,62
2016-02-17,35,71
2016-02-18,27,60
2016-02-19,21,47
2016-02-20,14,45
2016-02-21,14,28
2016-02-22,26,59
2016-02-23,30,68
2016-02-24,29,64
2016-02-25,33,66
2016-02-26,48,80
2016-02-27,70,114
2016-02-28,67,108
2016-02-29,32,54
2016-03-01,35,66
2016-03-02,36,69
2016-03-03,24,54
2016-03-04,35,67
2016-03-05,38,66
2016-03-06,27,36
2016-03-07,54,77
2016-03-08,64,94
2016-03-09,61,107
2016-03-10,57,98
2016-03-11,67,109
2016-03-12,57,88
2016-03-13,26,40
2016-03-14,46,68
2016-03-15,59,84
2016-03-16,56,87
2016-03-17,61,97
2016-03-18,51,75
2016-03-19,65,87
2016-03-20,50,68
2016-03-21,69,85
2016-03-22,69,91
2016-03-23,54,72
2016-03-24,68,87
2016-03-25,68,86
2016-03-26,67,83
2016-03-27,30,36
2016-03-28,28,50
2016-03-29,37,62
2016-03-30,41,85
2016-03-31,70,129
2016-04-01,70,129
2016-04-02,70,128
2016-04-03,55,97
2016-04-04,66,96
2016-04-05,62,97
2016-04-06,31,71
2016-04-07,62,100
2016-04-08,64,98
2016-04-09,68,110
2016-04-10,50,81
2016-04-11,70,98
2016-04-12,70,99
2016-04-13,70,105
2016-04-14,70,100
2016-04-15,59,81
2016-04-16,62,88
2016-04-17,51,68
2016-04-18,68,91
2016-04-19,68,105
2016-04-20,52,74
2016-04-21,47,61
2016-04-22,66,87
2016-04-23,67,88
2016-04-24,68,84
2016-04-25,52,60
2016-04-26,45,66
2016-04-27,63,94
2016-04-28,59,81
2016-04-29,63,82
2016-04-30,67,93
2016-05-01,68,101
2016-05-02,67,101
2016-05-03,67,103
2016-05-04,56,86
2016-05-05,66,96
2016-05-06,56,80
2016-05-07,69,94
2016-05-08,67,101
2016-05-09,70,106
