Hotel,Is_Canceled,Lead_Time,Arrival_Year,Arrival_Month,Arrival_Week_Number,Arrival_Day,Weekend_Nights,Week_Nights,Reserved_Room_Type,Assigned_Room_Type,Reservation_Status,Reservation_Status_Date
City Hotel,0,6,2015,July,27,1,0,2,A,A,Check-Out,03/07/2015
City Hotel,1,88,2015,July,27,1,0,4,A,A,Canceled,01/07/2015
City Hotel,1,65,2015,July,27,1,0,4,A,A,Canceled,30/04/2015
City Hotel,1,92,2015,July,27,1,2,4,A,A,Canceled,23/06/2015
City Hotel,1,100,2015,July,27,2,0,2,A,A,Canceled,02/04/2015
City Hotel,1,79,2015,July,27,2,0,3,A,A,Canceled,25/06/2015
City Hotel,0,3,2015,July,27,2,0,3,A,A,Check-Out,05/07/2015
City Hotel,1,63,2015,July,27,2,1,3,A,A,Canceled,25/06/2015
City Hotel,1,62,2015,July,27,2,2,3,A,A,No-Show,02/07/2015
City Hotel,1,62,2015,July,27,2,2,3,A,A,No-Show,02/07/2015
City Hotel,0,43,2015,July,27,3,0,2,A,A,Check-Out,05/07/2015
City Hotel,0,43,2015,July,27,3,0,2,A,A,Check-Out,05/07/2015
City Hotel,0,43,2015,July,27,3,0,2,A,A,Check-Out,05/07/2015
City Hotel,0,4,2015,July,27,3,0,2,A,A,Check-Out,05/07/2015
City Hotel,1,43,2015,July,27,3,0,2,A,A,Canceled,29/06/2015
City Hotel,0,43,2015,July,27,3,0,2,A,A,Check-Out,05/07/2015
City Hotel,1,43,2015,July,27,3,0,2,A,A,Canceled,16/06/2015
City Hotel,0,43,2015,July,27,3,0,2,A,A,Check-Out,05/07/2015
City Hotel,0,43,2015,July,27,3,0,2,A,A,Check-Out,05/07/2015
City Hotel,1,43,2015,July,27,3,0,2,A,A,Canceled,29/06/2015
City Hotel,1,43,2015,July,27,3,0,2,A,A,Canceled,16/06/2015
City Hotel,1,97,2015,July,27,3,0,2,A,A,Canceled,30/06/2015
City Hotel,0,43,2015,July,27,3,0,2,A,A,Check-Out,05/07/2015
City Hotel,0,43,2015,July,27,3,0,2,A,A,Check-Out,05/07/2015
City Hotel,1,80,2015,July,27,3,1,2,A,A,Canceled,17/04/2015
City Hotel,0,60,2015,July,27,3,2,5,A,A,Check-Out,10/07/2015
City Hotel,1,106,2015,July,27,4,1,1,A,A,Canceled,01/06/2015
City Hotel,1,68,2015,July,27,4,2,1,A,A,Canceled,23/06/2015
City Hotel,1,92,2015,July,27,4,2,1,A,A,Canceled,15/06/2015
City Hotel,0,18,2015,July,27,4,2,2,A,A,Check-Out,08/07/2015
City Hotel,1,71,2015,July,28,5,2,1,A,A,Canceled,30/06/2015
City Hotel,1,85,2015,July,28,5,2,1,A,A,Canceled,20/06/2015
City Hotel,1,92,2015,July,28,5,2,3,A,A,Canceled,03/07/2015
City Hotel,1,75,2015,July,28,6,1,1,A,A,Canceled,20/06/2015
City Hotel,1,92,2015,July,28,6,1,3,A,A,Canceled,21/04/2015
City Hotel,1,89,2015,July,28,6,1,4,A,A,Canceled,20/06/2015
City Hotel,1,100,2015,July,28,6,1,4,A,A,Canceled,15/06/2015
City Hotel,1,83,2015,July,28,6,2,5,A,A,Canceled,22/05/2015
City Hotel,1,72,2015,July,28,6,3,6,A,A,Canceled,25/06/2015
City Hotel,1,111,2015,July,28,6,1,2,A,A,No-Show,06/07/2015
City Hotel,1,86,2015,July,28,6,1,3,A,A,Canceled,17/06/2015
City Hotel,1,73,2015,July,28,7,0,4,A,A,Canceled,27/06/2015
City Hotel,1,92,2015,July,28,7,0,4,A,A,Canceled,26/06/2015
City Hotel,1,55,2015,July,28,7,0,4,A,A,Canceled,27/06/2015
City Hotel,0,69,2015,July,28,7,0,2,A,A,Check-Out,09/07/2015
City Hotel,1,76,2015,July,28,7,0,3,A,A,Canceled,17/06/2015
City Hotel,1,76,2015,July,28,7,0,3,A,A,Canceled,17/06/2015
City Hotel,1,79,2015,July,28,7,0,3,A,A,Canceled,16/06/2015
City Hotel,1,61,2015,July,28,7,0,4,A,A,Canceled,29/06/2015
City Hotel,1,55,2015,July,28,7,0,4,A,A,Canceled,27/06/2015
City Hotel,1,77,2015,July,28,7,2,5,A,A,Canceled,07/07/2015
City Hotel,0,54,2015,July,28,7,2,8,A,A,Check-Out,17/07/2015
City Hotel,1,90,2015,July,28,7,5,15,A,A,Canceled,08/04/2015
City Hotel,1,90,2015,July,28,7,5,15,A,A,Canceled,11/04/2015
City Hotel,1,117,2015,July,28,7,5,15,A,A,Canceled,08/04/2015
City Hotel,0,6,2015,July,28,8,0,2,A,A,Check-Out,10/07/2015
City Hotel,1,105,2015,July,28,8,0,2,A,A,Canceled,05/04/2015
City Hotel,0,51,2015,July,28,8,1,4,A,A,Check-Out,13/07/2015
City Hotel,1,97,2015,July,28,8,1,4,A,A,Canceled,29/06/2015
City Hotel,0,72,2015,July,28,8,1,4,A,A,Check-Out,13/07/2015
City Hotel,1,72,2015,July,28,8,2,5,A,A,Canceled,25/06/2015
City Hotel,1,61,2015,July,28,8,2,8,A,A,Canceled,14/05/2015
City Hotel,1,63,2015,July,28,8,2,8,A,A,Canceled,07/05/2015
City Hotel,1,24,2015,July,28,9,0,2,A,A,Canceled,15/06/2015
City Hotel,1,89,2015,July,28,9,0,3,A,A,Canceled,27/06/2015
City Hotel,0,92,2015,July,28,9,2,3,A,A,Check-Out,14/07/2015
City Hotel,1,84,2015,July,28,10,0,1,A,A,Canceled,30/06/2015
City Hotel,1,65,2015,July,28,10,0,2,A,A,Canceled,01/07/2015
City Hotel,1,85,2015,July,28,10,1,2,A,A,Canceled,10/07/2015
City Hotel,1,115,2015,July,28,10,2,3,A,A,Canceled,25/05/2015
City Hotel,0,67,2015,July,28,10,2,3,A,A,Check-Out,15/07/2015
City Hotel,1,87,2015,July,28,10,3,7,A,A,Canceled,01/06/2015
City Hotel,1,87,2015,July,28,10,3,7,A,A,Canceled,01/06/2015
City Hotel,0,71,2015,July,28,11,0,1,A,A,Check-Out,12/07/2015
City Hotel,0,3,2015,July,28,11,0,1,A,A,Check-Out,12/07/2015
City Hotel,0,71,2015,July,28,11,0,1,A,A,Check-Out,12/07/2015
City Hotel,0,3,2015,July,28,11,0,1,A,A,Check-Out,12/07/2015
City Hotel,1,109,2015,July,28,11,2,1,A,A,Canceled,27/06/2015
City Hotel,0,96,2015,July,28,11,2,1,A,A,Check-Out,14/07/2015
City Hotel,0,96,2015,July,28,11,2,1,A,A,Check-Out,14/07/2015
City Hotel,1,65,2015,July,28,11,2,1,A,A,Canceled,12/06/2015
City Hotel,1,114,2015,July,28,11,2,1,A,A,Canceled,11/05/2015
City Hotel,0,96,2015,July,28,11,2,1,A,A,Check-Out,14/07/2015
City Hotel,1,96,2015,July,28,11,2,1,A,A,Canceled,23/06/2015
City Hotel,0,3,2015,July,28,11,2,1,A,A,Check-Out,14/07/2015
City Hotel,0,61,2015,July,28,11,2,1,A,A,Check-Out,14/07/2015
City Hotel,0,96,2015,July,28,11,2,1,A,A,Check-Out,14/07/2015
City Hotel,0,96,2015,July,28,11,2,1,A,A,Check-Out,14/07/2015
City Hotel,0,3,2015,July,28,11,2,1,A,A,Check-Out,14/07/2015
City Hotel,1,96,2015,July,28,11,2,1,A,A,Canceled,23/06/2015
City Hotel,1,96,2015,July,28,11,2,1,A,A,Canceled,23/06/2015
City Hotel,0,96,2015,July,28,11,2,1,A,A,Check-Out,14/07/2015
City Hotel,1,96,2015,July,28,11,2,1,A,A,Canceled,23/06/2015
City Hotel,0,3,2015,July,28,11,2,1,A,A,Check-Out,14/07/2015
City Hotel,0,96,2015,July,28,11,2,1,A,A,Check-Out,14/07/2015
City Hotel,1,96,2015,July,28,11,2,1,A,A,Canceled,23/06/2015
City Hotel,1,96,2015,July,28,11,2,1,A,A,Canceled,23/06/2015
City Hotel,0,96,2015,July,28,11,2,1,A,A,Check-Out,14/07/2015
City Hotel,1,96,2015,July,28,11,2,1,A,A,Canceled,23/06/2015
City Hotel,0,61,2015,July,28,11,2,1,A,A,Check-Out,14/07/2015
City Hotel,0,3,2015,July,28,11,2,1,A,A,Check-Out,14/07/2015
City Hotel,0,66,2015,July,28,11,2,1,A,A,Check-Out,14/07/2015
City Hotel,0,96,2015,July,28,11,2,1,A,A,Check-Out,14/07/2015
City Hotel,0,96,2015,July,28,11,2,1,A,A,Check-Out,14/07/2015
City Hotel,0,96,2015,July,28,11,2,1,A,A,Check-Out,14/07/2015
City Hotel,0,96,2015,July,28,11,2,1,A,A,Check-Out,14/07/2015
City Hotel,1,96,2015,July,28,11,2,1,A,A,Canceled,23/06/2015
City Hotel,1,114,2015,July,28,11,2,1,A,A,Canceled,11/05/2015
City Hotel,0,96,2015,July,28,11,2,1,A,A,Check-Out,14/07/2015
City Hotel,1,96,2015,July,28,11,2,1,A,A,Canceled,23/06/2015
City Hotel,0,3,2015,July,28,11,2,1,A,A,Check-Out,14/07/2015
City Hotel,0,96,2015,July,28,11,2,1,A,A,Check-Out,14/07/2015
City Hotel,1,96,2015,July,28,11,2,1,A,A,Canceled,23/06/2015
City Hotel,1,96,2015,July,28,11,2,1,A,A,Canceled,23/06/2015
City Hotel,1,69,2015,July,29,12,2,0,A,A,Canceled,02/07/2015
City Hotel,1,59,2015,July,29,12,2,4,A,A,Canceled,15/06/2015
City Hotel,0,96,2015,July,29,13,1,0,A,A,Check-Out,14/07/2015
City Hotel,1,60,2015,July,29,13,1,0,A,A,No-Show,13/07/2015
City Hotel,1,122,2015,July,29,13,1,0,A,A,Canceled,17/06/2015
City Hotel,1,60,2015,July,29,13,1,0,A,A,No-Show,13/07/2015
City Hotel,1,60,2015,July,29,13,1,0,A,A,No-Show,13/07/2015
City Hotel,1,60,2015,July,29,13,1,0,A,A,No-Show,13/07/2015
City Hotel,1,122,2015,July,29,13,1,0,A,A,Canceled,17/06/2015
City Hotel,1,60,2015,July,29,13,1,0,A,A,No-Show,13/07/2015
City Hotel,1,123,2015,July,29,13,1,0,A,A,Canceled,30/06/2015
City Hotel,1,60,2015,July,29,13,1,0,A,A,No-Show,13/07/2015
City Hotel,1,73,2015,July,29,13,1,2,A,A,No-Show,13/07/2015
City Hotel,1,77,2015,July,29,13,1,2,A,A,Canceled,29/06/2015
City Hotel,1,123,2015,July,29,13,1,3,A,A,Canceled,13/03/2015
City Hotel,1,94,2015,July,29,14,0,3,A,A,Canceled,30/06/2015
City Hotel,1,120,2015,July,29,14,0,5,A,A,Canceled,03/07/2015
City Hotel,1,94,2015,July,29,14,2,7,A,A,Canceled,07/07/2015
City Hotel,1,0,2015,July,29,15,0,1,A,F,Canceled,15/07/2015
City Hotel,1,79,2015,July,29,15,0,4,A,A,Canceled,30/06/2015
City Hotel,1,125,2015,July,29,15,2,4,A,A,Canceled,20/06/2015
City Hotel,1,62,2015,July,29,15,2,7,A,A,Canceled,02/07/2015
City Hotel,1,109,2015,July,29,15,2,7,A,A,Canceled,27/05/2015
City Hotel,1,109,2015,July,29,16,0,1,A,A,Canceled,07/05/2015
City Hotel,1,109,2015,July,29,16,0,1,A,A,Canceled,07/05/2015
City Hotel,1,80,2015,July,29,16,0,2,A,A,Canceled,29/04/2015
City Hotel,1,122,2015,July,29,16,0,2,A,A,No-Show,16/07/2015
City Hotel,1,82,2015,July,29,16,2,5,A,A,Canceled,17/06/2015
City Hotel,1,82,2015,July,29,16,0,3,A,A,Canceled,16/07/2015
City Hotel,1,107,2015,July,29,17,0,2,A,A,Canceled,13/07/2015
City Hotel,0,18,2015,July,29,18,1,1,A,A,Check-Out,20/07/2015
City Hotel,0,18,2015,July,29,18,1,1,A,A,Check-Out,20/07/2015
City Hotel,0,18,2015,July,29,18,1,1,A,A,Check-Out,20/07/2015
City Hotel,0,18,2015,July,29,18,1,1,A,A,Check-Out,20/07/2015
