Hotel,Is_Canceled,Lead_Time,Arrival_Year,Arrival_Month,Arrival_Week_Number,Arrival_Day,Weekend_Nights,Week_Nights,Reserved_Room_Type,Assigned_Room_Type,Reservation_Status,Reservation_Status_Date
City Hotel,1,63,2015,July,28,7,2,5,B,B,Canceled,07/07/2015
City Hotel,1,63,2015,July,28,7,2,5,B,B,Canceled,07/07/2015
City Hotel,1,82,2015,July,30,19,2,2,B,B,Canceled,12/07/2015
City Hotel,1,82,2015,July,30,19,2,2,B,B,Canceled,12/07/2015
City Hotel,0,110,2015,July,30,23,0,1,B,D,Check-Out,24/07/2015
City Hotel,0,110,2015,July,30,23,0,1,B,B,Check-Out,24/07/2015
City Hotel,0,117,2015,August,31,1,2,1,B,B,Check-Out,04/08/2015
City Hotel,0,117,2015,August,31,1,2,1,B,B,Check-Out,04/08/2015
City Hotel,0,6,2015,August,32,3,1,0,B,B,Check-Out,04/08/2015
City Hotel,0,6,2015,August,32,3,1,0,B,B,Check-Out,04/08/2015
City Hotel,1,2,2015,August,32,3,1,0,B,B,Canceled,01/08/2015
City Hotel,1,1,2015,August,32,5,0,2,B,B,Canceled,04/08/2015
City Hotel,1,1,2015,August,32,5,0,2,B,B,Canceled,04/08/2015
City Hotel,0,135,2015,August,32,5,0,3,B,D,Check-Out,08/08/2015
City Hotel,0,135,2015,August,32,5,0,3,B,E,Check-Out,08/08/2015
City Hotel,1,33,2015,August,32,5,0,4,B,B,Canceled,16/07/2015
City Hotel,1,33,2015,August,32,5,0,4,B,B,Canceled,16/07/2015
City Hotel,0,3,2015,August,33,9,2,1,B,B,Check-Out,12/08/2015
City Hotel,0,3,2015,August,33,9,2,1,B,B,Check-Out,12/08/2015
City Hotel,0,1,2015,August,33,10,1,1,B,B,Check-Out,12/08/2015
City Hotel,0,1,2015,August,33,10,1,1,B,B,Check-Out,12/08/2015
City Hotel,0,104,2015,August,33,11,0,3,B,B,Check-Out,14/08/2015
City Hotel,0,104,2015,August,33,11,0,3,B,B,Check-Out,14/08/2015
City Hotel,0,107,2015,August,33,12,0,1,B,B,Check-Out,13/08/2015
City Hotel,0,107,2015,August,33,12,0,1,B,B,Check-Out,13/08/2015
City Hotel,0,107,2015,August,33,12,0,1,B,B,Check-Out,13/08/2015
City Hotel,0,107,2015,August,33,12,0,1,B,B,Check-Out,13/08/2015
City Hotel,0,1,2015,August,33,12,0,2,B,B,Check-Out,14/08/2015
City Hotel,0,1,2015,August,33,12,0,2,B,B,Check-Out,14/08/2015
City Hotel,1,8,2015,August,33,13,2,5,B,B,Canceled,09/08/2015
City Hotel,0,1,2015,August,33,14,1,2,B,B,Check-Out,17/08/2015
City Hotel,0,1,2015,August,33,14,1,2,B,B,Check-Out,17/08/2015
City Hotel,0,0,2015,August,33,15,0,1,B,B,Check-Out,16/08/2015
City Hotel,0,3,2015,August,34,16,2,0,B,B,Check-Out,18/08/2015
City Hotel,0,3,2015,August,34,16,2,0,B,B,Check-Out,18/08/2015
City Hotel,0,5,2015,August,34,17,1,5,B,B,Check-Out,23/08/2015
City Hotel,0,5,2015,August,34,17,1,5,B,B,Check-Out,23/08/2015
City Hotel,0,10,2015,August,35,24,1,4,B,B,Check-Out,29/08/2015
City Hotel,0,10,2015,August,35,24,1,4,B,B,Check-Out,29/08/2015
City Hotel,0,0,2015,August,35,24,1,2,B,B,Check-Out,27/08/2015
City Hotel,1,13,2015,August,35,27,2,5,B,B,Canceled,19/08/2015
City Hotel,1,15,2015,August,35,27,2,5,B,B,Canceled,19/08/2015
City Hotel,0,15,2015,August,35,28,0,1,B,B,Check-Out,29/08/2015
City Hotel,0,15,2015,August,35,28,0,1,B,B,Check-Out,29/08/2015
City Hotel,0,20,2015,September,36,1,2,5,B,B,Check-Out,08/09/2015
City Hotel,0,20,2015,September,36,1,2,5,B,B,Check-Out,08/09/2015
City Hotel,1,11,2015,September,37,8,0,4,B,B,Canceled,02/09/2015
City Hotel,1,11,2015,September,37,8,0,4,B,B,Canceled,02/09/2015
City Hotel,0,56,2015,October,41,9,2,4,B,G,Check-Out,15/10/2015
City Hotel,1,56,2015,October,41,9,2,4,B,B,Canceled,09/10/2015
City Hotel,0,184,2015,October,42,17,2,6,B,A,Check-Out,25/10/2015
City Hotel,0,184,2015,October,42,17,2,6,B,A,Check-Out,25/10/2015
City Hotel,0,97,2015,October,43,19,1,2,B,B,Check-Out,22/10/2015
City Hotel,0,97,2015,October,43,19,1,2,B,B,Check-Out,22/10/2015
City Hotel,1,48,2015,October,43,19,1,3,B,B,Canceled,02/09/2015
