Hotel,Is_Canceled,Lead_Time,Arrival_Year,Arrival_Month,Arrival_Week_Number,Arrival_Day,Weekend_Nights,Week_Nights,Reserved_Room_Type,Assigned_Room_Type,Reservation_Status,Reservation_Status_Date
City Hotel,1,92,2015,July,29,15,0,4,D,D,No-Show,15/07/2015
City Hotel,1,92,2015,July,29,15,0,4,D,D,Canceled,08/05/2015
City Hotel,0,0,2015,July,30,24,0,2,D,F,Check-Out,26/07/2015
City Hotel,0,0,2015,July,30,24,0,2,D,D,Check-Out,26/07/2015
City Hotel,0,0,2015,July,30,24,0,2,D,A,Check-Out,26/07/2015
City Hotel,0,0,2015,July,30,24,0,2,D,A,Check-Out,26/07/2015
City Hotel,0,0,2015,July,30,25,0,1,D,A,Check-Out,26/07/2015
City Hotel,1,98,2015,July,30,25,1,1,D,D,Canceled,24/04/2015
City Hotel,0,0,2015,August,32,3,1,0,D,D,Check-Out,04/08/2015
City Hotel,0,0,2015,August,32,5,0,1,D,D,Check-Out,06/08/2015
City Hotel,0,0,2015,August,32,8,1,1,D,D,Check-Out,10/08/2015
City Hotel,0,0,2015,August,32,8,1,1,D,D,Check-Out,10/08/2015
City Hotel,0,2,2015,August,33,11,0,2,D,D,Check-Out,13/08/2015
City Hotel,0,0,2015,August,33,11,0,2,D,A,Check-Out,13/08/2015
City Hotel,0,0,2015,August,33,12,0,1,D,D,Check-Out,13/08/2015
City Hotel,1,0,2015,August,33,13,0,2,D,D,No-Show,13/08/2015
City Hotel,1,0,2015,August,33,13,0,2,D,D,No-Show,13/08/2015
City Hotel,0,1,2015,August,34,16,2,1,D,D,Check-Out,19/08/2015
City Hotel,0,0,2015,August,34,17,1,0,D,D,Check-Out,18/08/2015
City Hotel,0,0,2015,August,34,18,0,1,D,D,Check-Out,19/08/2015
City Hotel,0,0,2015,August,34,18,0,1,D,D,Check-Out,19/08/2015
City Hotel,0,12,2015,August,34,18,0,2,D,D,Check-Out,20/08/2015
City Hotel,0,12,2015,August,34,18,0,2,D,D,Check-Out,20/08/2015
City Hotel,0,12,2015,August,34,18,0,2,D,D,Check-Out,20/08/2015
City Hotel,0,6,2015,August,34,19,0,3,D,D,Check-Out,22/08/2015
City Hotel,0,0,2015,August,34,21,0,1,D,A,Check-Out,22/08/2015
City Hotel,0,10,2015,August,34,21,0,1,D,D,Check-Out,22/08/2015
City Hotel,0,2,2015,August,34,21,2,2,D,D,Check-Out,25/08/2015
City Hotel,0,4,2015,August,34,22,0,1,D,D,Check-Out,23/08/2015
City Hotel,0,0,2015,August,35,23,1,0,D,A,Check-Out,24/08/2015
City Hotel,0,11,2015,August,35,24,3,5,D,A,Check-Out,01/09/2015
City Hotel,1,1,2015,August,35,26,0,1,D,G,No-Show,26/08/2015
City Hotel,0,0,2015,August,35,26,0,1,D,D,Check-Out,27/08/2015
City Hotel,0,11,2015,August,35,28,0,2,D,D,Check-Out,30/08/2015
City Hotel,0,14,2015,August,35,29,2,5,D,D,Check-Out,05/09/2015
City Hotel,0,12,2015,August,36,30,1,0,D,D,Check-Out,31/08/2015
City Hotel,1,12,2015,August,36,30,1,0,D,D,Canceled,19/08/2015
City Hotel,1,12,2015,August,36,30,1,0,D,D,Canceled,19/08/2015
City Hotel,0,6,2015,August,36,30,2,3,D,D,Check-Out,04/09/2015
City Hotel,0,0,2015,August,36,31,1,0,D,E,Check-Out,01/09/2015
City Hotel,0,2,2015,September,36,2,0,1,D,D,Check-Out,03/09/2015
City Hotel,0,14,2015,September,36,2,2,5,D,D,Check-Out,09/09/2015
City Hotel,0,0,2015,September,36,2,0,2,D,D,Check-Out,04/09/2015
City Hotel,0,1,2015,September,36,3,0,1,D,D,Check-Out,04/09/2015
City Hotel,0,5,2015,September,36,3,0,2,D,D,Check-Out,05/09/2015
City Hotel,0,5,2015,September,36,3,0,2,D,D,Check-Out,05/09/2015
City Hotel,0,0,2015,September,36,3,0,3,D,D,Check-Out,06/09/2015
City Hotel,0,1,2015,September,36,3,0,3,D,D,Check-Out,06/09/2015
City Hotel,0,0,2015,September,36,4,0,1,D,D,Check-Out,05/09/2015
City Hotel,0,23,2015,September,36,4,2,2,D,D,Check-Out,08/09/2015
City Hotel,0,14,2015,September,36,4,2,3,D,D,Check-Out,09/09/2015
City Hotel,0,14,2015,September,36,4,2,3,D,D,Check-Out,09/09/2015
City Hotel,0,10,2015,September,36,5,2,4,D,D,Check-Out,11/09/2015
City Hotel,0,22,2015,September,36,5,2,5,D,E,Check-Out,12/09/2015
City Hotel,0,67,2015,September,37,6,2,2,D,D,Check-Out,10/09/2015
