Hotel,Is_Canceled,Lead_Time,Arrival_Year,Arrival_Month,Arrival_Week_Number,Arrival_Day,Weekend_Nights,Week_Nights,Reserved_Room_Type,Assigned_Room_Type,Reservation_Status,Reservation_Status_Date
City Hotel,0,0,2015,July,31,29,0,1,E,E,Check-Out,30/07/2015
City Hotel,0,2,2015,August,32,2,1,0,E,D,Check-Out,03/08/2015
City Hotel,0,0,2015,August,32,5,0,1,E,A,Check-Out,06/08/2015
City Hotel,0,1,2015,August,32,7,2,2,E,E,Check-Out,11/08/2015
City Hotel,0,2,2015,August,33,9,1,0,E,E,Check-Out,10/08/2015
City Hotel,0,2,2015,August,33,9,1,0,E,E,Check-Out,10/08/2015
City Hotel,0,0,2015,August,33,10,9,20,E,K,Check-Out,08/09/2015
City Hotel,0,0,2015,August,33,11,0,2,E,E,Check-Out,13/08/2015
City Hotel,0,4,2015,August,34,19,1,4,E,E,Check-Out,24/08/2015
City Hotel,0,0,2015,August,35,26,0,2,E,E,Check-Out,28/08/2015
City Hotel,1,1,2015,August,35,27,0,1,E,E,Canceled,26/08/2015
City Hotel,0,5,2015,August,35,29,2,2,E,E,Check-Out,02/09/2015
City Hotel,0,12,2015,September,36,1,0,4,E,E,Check-Out,05/09/2015
City Hotel,0,0,2015,September,36,1,0,4,E,E,Check-Out,05/09/2015
City Hotel,0,19,2015,September,36,2,0,4,E,E,Check-Out,06/09/2015
City Hotel,0,3,2015,September,36,4,0,2,E,E,Check-Out,06/09/2015
City Hotel,0,9,2015,September,36,5,0,1,E,G,Check-Out,06/09/2015
City Hotel,1,96,2015,September,40,28,1,1,E,E,Canceled,22/08/2015
City Hotel,1,96,2015,September,40,28,1,1,E,E,Canceled,22/08/2015
City Hotel,1,96,2015,September,40,28,1,1,E,E,Canceled,22/08/2015
City Hotel,1,96,2015,September,40,28,1,1,E,E,Canceled,22/08/2015
City Hotel,1,96,2015,September,40,28,1,1,E,E,Canceled,22/08/2015
City Hotel,1,96,2015,September,40,28,1,1,E,E,Canceled,22/08/2015
City Hotel,0,9,2015,December,52,25,2,3,E,E,Check-Out,30/12/2015
City Hotel,0,6,2015,December,53,28,1,3,E,E,Check-Out,01/01/2016
City Hotel,0,7,2015,December,53,29,0,3,E,E,Check-Out,01/01/2016
City Hotel,1,16,2016,January,3,12,4,10,E,E,No-Show,12/01/2016
City Hotel,0,27,2016,January,4,19,1,5,E,E,Check-Out,25/01/2016
City Hotel,0,47,2016,January,4,20,1,4,E,E,Check-Out,25/01/2016
City Hotel,0,20,2016,January,4,23,2,1,E,E,Check-Out,26/01/2016
City Hotel,1,0,2016,February,7,10,0,1,E,E,Canceled,10/02/2016
City Hotel,1,43,2016,February,8,17,0,3,E,E,Canceled,05/01/2016
City Hotel,1,8,2016,February,8,19,0,2,E,E,Canceled,18/02/2016
