Hotel,Is_Canceled,Lead_Time,Arrival_Year,Arrival_Month,Arrival_Week_Number,Arrival_Day,Weekend_Nights,Week_Nights,Reserved_Room_Type,Assigned_Room_Type,Reservation_Status,Reservation_Status_Date
City Hotel,0,0,2015,July,29,15,2,5,F,A,Check-Out,22/07/2015
City Hotel,0,7,2015,August,32,3,1,2,F,F,Check-Out,06/08/2015
City Hotel,0,0,2015,August,32,7,0,2,F,F,Check-Out,09/08/2015
City Hotel,0,0,2015,August,32,7,0,2,F,F,Check-Out,09/08/2015
City Hotel,0,0,2015,August,32,8,0,1,F,F,Check-Out,09/08/2015
City Hotel,0,0,2015,August,32,8,2,1,F,F,Check-Out,11/08/2015
City Hotel,0,1,2015,August,33,9,2,3,F,F,Check-Out,14/08/2015
City Hotel,0,1,2015,August,33,9,1,0,F,F,Check-Out,10/08/2015
City Hotel,0,0,2015,August,33,9,2,0,F,B,Check-Out,11/08/2015
City Hotel,0,1,2015,August,33,9,2,0,F,F,Check-Out,11/08/2015
City Hotel,0,0,2015,August,33,9,2,0,F,B,Check-Out,11/08/2015
City Hotel,0,3,2015,August,33,10,1,1,F,F,Check-Out,12/08/2015
City Hotel,0,1,2015,August,33,11,0,2,F,F,Check-Out,13/08/2015
City Hotel,1,3,2015,August,33,11,0,3,F,F,Canceled,10/08/2015
City Hotel,0,1,2015,August,33,11,0,4,F,F,Check-Out,15/08/2015
City Hotel,0,3,2015,August,33,11,0,1,F,F,Check-Out,12/08/2015
City Hotel,0,2,2015,August,33,12,0,2,F,F,Check-Out,14/08/2015
City Hotel,0,3,2015,August,33,13,0,1,F,F,Check-Out,14/08/2015
City Hotel,0,4,2015,August,33,14,1,2,F,F,Check-Out,17/08/2015
City Hotel,0,5,2015,August,33,15,1,1,F,F,Check-Out,17/08/2015
City Hotel,1,5,2015,August,33,15,1,1,F,F,Canceled,10/08/2015
City Hotel,0,8,2015,August,34,16,2,2,F,F,Check-Out,20/08/2015
City Hotel,0,5,2015,August,34,16,2,3,F,F,Check-Out,21/08/2015
City Hotel,1,6,2015,August,34,16,1,0,F,F,Canceled,13/08/2015
City Hotel,0,7,2015,August,34,17,1,1,F,F,Check-Out,19/08/2015
City Hotel,1,9,2015,August,34,17,1,2,F,F,Canceled,10/08/2015
City Hotel,0,7,2015,August,34,18,0,3,F,F,Check-Out,21/08/2015
City Hotel,0,7,2015,August,34,18,0,4,F,F,Check-Out,22/08/2015
City Hotel,0,7,2015,August,34,19,0,2,F,F,Check-Out,21/08/2015
City Hotel,0,10,2015,August,34,20,0,1,F,F,Check-Out,21/08/2015
City Hotel,0,10,2015,August,34,20,0,2,F,F,Check-Out,22/08/2015
City Hotel,0,0,2015,August,34,21,0,1,F,F,Check-Out,22/08/2015
City Hotel,1,10,2015,August,34,21,1,2,F,F,Canceled,17/08/2015
City Hotel,0,11,2015,August,34,21,1,2,F,F,Check-Out,24/08/2015
City Hotel,0,9,2015,August,34,21,1,2,F,F,Check-Out,24/08/2015
City Hotel,0,9,2015,August,34,21,2,4,F,F,Check-Out,27/08/2015
City Hotel,0,10,2015,August,34,22,0,1,F,F,Check-Out,23/08/2015
City Hotel,0,0,2015,August,34,22,0,1,F,F,Check-Out,23/08/2015
City Hotel,0,10,2015,August,35,23,1,0,F,F,Check-Out,24/08/2015
City Hotel,0,0,2015,August,35,24,1,0,F,F,Check-Out,25/08/2015
City Hotel,0,13,2015,August,35,24,1,1,F,F,Check-Out,26/08/2015
City Hotel,0,10,2015,August,35,25,0,4,F,F,Check-Out,29/08/2015
City Hotel,0,0,2015,August,35,25,0,1,F,F,Check-Out,26/08/2015
City Hotel,0,0,2015,August,35,25,0,2,F,F,Check-Out,27/08/2015
City Hotel,0,1,2015,August,35,25,0,2,F,F,Check-Out,27/08/2015
City Hotel,0,2,2015,August,35,26,0,1,F,F,Check-Out,27/08/2015
City Hotel,0,13,2015,August,35,27,0,1,F,F,Check-Out,28/08/2015
City Hotel,1,11,2015,August,35,28,0,2,F,F,Canceled,27/08/2015
City Hotel,0,3,2015,August,35,29,0,1,F,F,Check-Out,30/08/2015
City Hotel,0,17,2015,August,35,29,0,1,F,F,Check-Out,30/08/2015
City Hotel,1,15,2015,August,35,29,1,1,F,F,Canceled,24/08/2015
City Hotel,1,10,2015,August,35,29,2,2,F,F,Canceled,21/08/2015
City Hotel,0,0,2015,August,36,31,1,2,F,F,Check-Out,03/09/2015
City Hotel,0,5,2015,August,36,31,1,3,F,F,Check-Out,04/09/2015
City Hotel,1,15,2015,September,36,1,0,5,F,F,Canceled,17/08/2015
City Hotel,0,10,2015,September,36,3,0,1,F,F,Check-Out,04/09/2015
City Hotel,0,0,2015,September,36,3,0,1,F,F,Check-Out,04/09/2015
City Hotel,0,6,2015,September,36,3,0,1,F,F,Check-Out,04/09/2015
City Hotel,0,1,2015,September,36,3,0,3,F,F,Check-Out,06/09/2015
City Hotel,0,6,2015,September,36,4,0,1,F,F,Check-Out,05/09/2015
City Hotel,0,16,2015,September,36,5,1,1,F,F,Check-Out,07/09/2015
City Hotel,0,19,2015,September,36,5,2,1,F,F,Check-Out,08/09/2015
City Hotel,0,16,2015,September,36,5,2,1,F,F,Check-Out,08/09/2015
City Hotel,0,26,2015,September,36,5,2,1,F,F,Check-Out,08/09/2015
City Hotel,0,16,2015,September,36,5,2,1,F,F,Check-Out,08/09/2015
City Hotel,0,16,2015,September,36,5,2,1,F,F,Check-Out,08/09/2015
City Hotel,0,10,2015,September,37,7,1,3,F,F,Check-Out,11/09/2015
City Hotel,0,14,2015,September,37,7,1,5,F,F,Check-Out,13/09/2015
City Hotel,0,0,2015,September,37,8,0,4,F,F,Check-Out,12/09/2015
City Hotel,0,12,2015,September,37,9,0,2,F,F,Check-Out,11/09/2015
City Hotel,0,2,2015,September,37,9,0,3,F,F,Check-Out,12/09/2015
City Hotel,0,9,2015,September,37,12,2,1,F,F,Check-Out,15/09/2015
City Hotel,0,4,2015,September,38,13,2,1,F,F,Check-Out,16/09/2015
City Hotel,0,13,2015,September,38,14,1,3,F,F,Check-Out,18/09/2015
City Hotel,0,14,2015,September,38,15,0,5,F,F,Check-Out,20/09/2015
City Hotel,1,19,2015,September,38,16,0,1,F,F,Canceled,04/09/2015
City Hotel,0,21,2015,September,38,16,0,3,F,F,Check-Out,19/09/2015
City Hotel,1,15,2015,September,39,20,2,2,F,F,Canceled,15/09/2015
City Hotel,0,29,2015,September,39,24,0,2,F,F,Check-Out,26/09/2015
City Hotel,1,26,2015,September,39,24,1,3,F,F,Canceled,15/09/2015
City Hotel,1,23,2015,September,39,26,0,1,F,F,Canceled,04/09/2015
City Hotel,1,33,2015,October,41,6,0,4,F,F,Canceled,03/09/2015
City Hotel,0,0,2015,October,42,11,2,0,F,F,Check-Out,13/10/2015
City Hotel,0,39,2015,October,42,16,0,2,F,F,Check-Out,18/10/2015
City Hotel,0,43,2015,October,43,21,2,4,F,F,Check-Out,27/10/2015
City Hotel,1,47,2015,October,44,25,2,4,F,F,Canceled,08/09/2015
City Hotel,0,48,2015,October,44,25,2,3,F,F,Check-Out,30/10/2015
City Hotel,0,62,2015,October,44,29,0,1,F,F,Check-Out,30/10/2015
City Hotel,0,54,2015,October,44,31,0,1,F,F,Check-Out,01/11/2015
City Hotel,1,77,2015,November,48,25,0,3,F,F,Canceled,17/09/2015
City Hotel,0,2,2015,December,49,5,1,1,F,F,Check-Out,07/12/2015
City Hotel,0,7,2015,December,51,18,1,2,F,F,Check-Out,21/12/2015
City Hotel,0,13,2015,December,52,26,2,3,F,F,Check-Out,31/12/2015
City Hotel,0,22,2015,December,53,27,2,0,F,F,Check-Out,29/12/2015
City Hotel,0,21,2015,December,53,27,2,2,F,F,Check-Out,31/12/2015
City Hotel,0,20,2015,December,53,28,1,2,F,F,Check-Out,31/12/2015
City Hotel,1,22,2015,December,53,29,0,5,F,F,Canceled,25/12/2015
City Hotel,0,1,2015,December,53,30,0,4,F,G,Check-Out,03/01/2016
City Hotel,0,19,2016,January,1,1,1,2,F,F,Check-Out,04/01/2016
City Hotel,1,30,2016,January,3,15,0,2,F,F,Canceled,16/12/2015
City Hotel,1,30,2016,January,3,15,0,2,F,F,Canceled,29/12/2015
City Hotel,0,18,2016,January,3,15,2,3,F,F,Check-Out,20/01/2016
City Hotel,1,28,2016,February,6,1,5,10,F,F,Canceled,21/01/2016
City Hotel,1,12,2016,February,6,3,0,2,F,F,Canceled,23/01/2016
City Hotel,1,26,2016,February,7,8,1,1,F,F,Canceled,21/01/2016
City Hotel,0,44,2016,February,7,8,1,1,F,G,Check-Out,10/02/2016
City Hotel,1,26,2016,February,7,10,2,4,F,F,Canceled,28/01/2016
City Hotel,1,39,2016,February,9,21,2,1,F,F,Canceled,29/01/2016
City Hotel,1,8,2016,February,9,22,1,3,F,F,Canceled,15/02/2016
City Hotel,1,31,2016,February,9,26,0,2,F,F,Canceled,27/01/2016
City Hotel,1,36,2016,February,9,26,1,2,F,F,Canceled,21/01/2016
City Hotel,1,54,2016,February,10,28,2,2,F,F,Canceled,06/02/2016
