Hotel,Is_Canceled,Lead_Time,Arrival_Year,Arrival_Month,Arrival_Week_Number,Arrival_Day,Weekend_Nights,Week_Nights,Reserved_Room_Type,Assigned_Room_Type,Reservation_Status,Reservation_Status_Date
City Hotel,0,111,2015,September,36,1,0,3,G,G,Check-Out,04/09/2015
City Hotel,1,110,2015,December,50,9,0,4,G,G,Canceled,26/11/2015
City Hotel,0,110,2015,December,50,9,0,4,G,G,Check-Out,13/12/2015
City Hotel,1,0,2016,March,11,10,0,1,G,A,Canceled,10/03/2016
City Hotel,1,27,2016,March,13,22,0,4,G,G,Canceled,25/02/2016
City Hotel,1,40,2016,March,13,25,1,2,G,G,Canceled,17/02/2016
City Hotel,1,22,2016,April,16,16,2,2,G,G,Canceled,01/04/2016
City Hotel,1,41,2016,April,17,21,0,3,G,G,Canceled,11/03/2016
City Hotel,1,45,2016,May,20,13,1,2,G,G,Canceled,11/04/2016
City Hotel,1,2,2016,May,21,19,0,2,G,G,Canceled,18/05/2016
City Hotel,1,2,2016,May,21,19,0,2,G,G,Canceled,18/05/2016
City Hotel,1,6,2016,May,21,20,2,4,G,G,Canceled,18/05/2016
City Hotel,1,24,2016,May,21,21,2,1,G,G,Canceled,03/05/2016
City Hotel,1,24,2016,May,21,21,2,1,G,G,Canceled,03/05/2016
City Hotel,1,30,2016,June,25,12,2,1,G,G,Canceled,13/05/2016
City Hotel,1,40,2016,June,27,30,4,10,G,G,No-Show,30/06/2016
City Hotel,1,50,2016,July,28,4,1,1,G,G,Canceled,25/06/2016
City Hotel,1,27,2016,July,28,6,0,2,G,G,Canceled,27/06/2016
City Hotel,1,0,2016,July,28,7,0,1,G,G,Canceled,07/07/2016
City Hotel,1,14,2016,July,28,8,2,2,G,F,Canceled,27/06/2016
City Hotel,1,61,2016,July,29,10,2,1,G,G,Canceled,10/05/2016
City Hotel,1,21,2016,July,30,17,2,1,G,G,Canceled,07/07/2016
City Hotel,1,15,2016,July,30,19,0,4,G,G,Canceled,13/07/2016
City Hotel,1,36,2016,July,31,27,1,4,G,G,Canceled,22/06/2016
City Hotel,1,114,2016,August,32,2,0,2,G,G,Canceled,11/04/2016
City Hotel,1,114,2016,August,32,2,0,2,G,G,Canceled,11/04/2016
City Hotel,1,36,2016,August,33,7,1,0,G,G,Canceled,05/08/2016
City Hotel,1,91,2016,August,33,9,4,10,G,G,Canceled,01/07/2016
City Hotel,1,14,2016,August,33,13,1,1,G,G,Canceled,30/07/2016
City Hotel,1,35,2016,August,34,17,0,3,G,G,Canceled,13/07/2016
City Hotel,1,36,2016,August,35,21,1,0,G,G,Canceled,16/07/2016
City Hotel,1,111,2016,August,35,26,0,2,G,G,Canceled,02/07/2016
City Hotel,1,34,2016,September,37,4,3,5,G,G,Canceled,05/08/2016
City Hotel,1,20,2016,September,38,15,4,10,G,G,Canceled,26/08/2016
City Hotel,1,46,2016,September,39,20,0,3,G,G,Canceled,04/09/2016
City Hotel,1,26,2016,September,40,28,1,4,G,G,Canceled,25/09/2016
City Hotel,1,29,2016,September,40,28,1,4,G,G,Canceled,28/09/2016
City Hotel,1,5,2016,October,41,4,0,5,G,G,Canceled,30/09/2016
City Hotel,1,13,2016,October,41,7,2,3,G,G,Canceled,27/09/2016
City Hotel,1,71,2016,October,43,20,1,3,G,G,Canceled,11/08/2016
City Hotel,1,60,2016,October,44,27,0,1,G,G,Canceled,25/10/2016
City Hotel,1,160,2016,October,44,28,0,2,G,G,Canceled,10/10/2016
City Hotel,1,16,2016,November,45,5,8,21,G,G,Canceled,20/10/2016
City Hotel,1,168,2016,November,48,25,2,2,G,G,Canceled,19/06/2016
City Hotel,1,0,2016,December,53,28,0,1,G,G,Canceled,28/12/2016
City Hotel,1,149,2016,December,53,28,1,4,G,G,Canceled,08/10/2016
City Hotel,1,78,2016,December,53,29,1,3,G,G,Canceled,21/11/2016
City Hotel,1,18,2016,December,53,30,0,2,G,G,Canceled,14/12/2016
City Hotel,1,22,2017,January,1,7,2,2,G,G,Canceled,04/01/2017
City Hotel,1,32,2017,January,1,7,2,3,G,G,Canceled,04/01/2017
City Hotel,1,49,2017,January,4,27,1,2,G,G,Canceled,09/12/2016
City Hotel,1,56,2017,February,5,3,1,2,G,G,Canceled,31/01/2017
City Hotel,1,12,2017,February,6,9,1,3,G,G,Canceled,30/01/2017
City Hotel,1,4,2017,February,6,10,0,2,G,G,Canceled,08/02/2017
City Hotel,1,30,2017,February,7,16,1,3,G,G,Canceled,10/02/2017
City Hotel,1,59,2017,February,8,19,2,2,G,G,Canceled,16/02/2017
City Hotel,1,17,2017,February,8,20,1,4,G,G,Canceled,17/02/2017
City Hotel,1,75,2017,March,9,3,2,3,G,G,Canceled,19/12/2016
City Hotel,1,75,2017,March,9,4,2,3,G,G,Canceled,10/02/2017
City Hotel,1,3,2017,March,10,7,6,15,G,G,Canceled,06/03/2017
City Hotel,1,53,2017,March,11,14,0,3,G,G,Canceled,10/03/2017
City Hotel,1,9,2017,March,12,19,2,5,G,G,Canceled,13/03/2017
City Hotel,1,46,2017,March,12,22,0,3,G,G,Canceled,15/03/2017
City Hotel,1,46,2017,March,12,22,0,3,G,G,Canceled,15/03/2017
City Hotel,1,10,2017,March,13,27,1,1,G,G,Canceled,24/03/2017
City Hotel,1,60,2017,April,14,7,0,1,G,G,Canceled,15/03/2017
City Hotel,1,29,2017,April,15,13,0,3,G,G,Canceled,15/03/2017
City Hotel,1,75,2017,April,16,17,1,2,G,G,Canceled,28/03/2017
City Hotel,1,19,2017,April,17,28,0,2,G,G,Canceled,10/04/2017
City Hotel,1,9,2017,April,17,28,2,2,G,G,Canceled,23/04/2017
City Hotel,1,19,2017,April,17,29,2,4,G,G,Canceled,10/04/2017
City Hotel,1,57,2017,May,18,1,1,5,G,G,Canceled,06/03/2017
City Hotel,1,18,2017,May,19,10,2,9,G,G,Canceled,24/04/2017
City Hotel,1,38,2017,May,19,12,2,7,G,G,Canceled,04/04/2017
City Hotel,1,38,2017,May,19,12,2,7,G,G,Canceled,19/04/2017
City Hotel,1,21,2017,May,19,12,2,7,G,G,Canceled,27/04/2017
City Hotel,1,10,2017,May,20,18,0,1,G,G,Canceled,10/05/2017
City Hotel,1,11,2017,May,20,19,0,2,G,G,Canceled,10/05/2017
City Hotel,1,4,2017,May,20,20,0,1,G,G,Canceled,16/05/2017
City Hotel,1,141,2017,May,21,23,0,2,G,G,Canceled,22/04/2017
City Hotel,1,141,2017,May,21,23,0,2,G,G,Canceled,22/04/2017
City Hotel,1,147,2017,May,21,24,0,4,G,G,Canceled,05/05/2017
City Hotel,1,61,2017,May,21,24,0,4,G,G,Canceled,09/05/2017
City Hotel,1,73,2017,May,21,24,0,4,G,G,Canceled,18/03/2017
City Hotel,1,89,2017,May,21,26,0,2,G,G,Canceled,01/03/2017
City Hotel,1,20,2017,June,22,1,1,3,G,G,Canceled,16/05/2017
City Hotel,1,80,2017,June,22,2,1,2,G,G,Canceled,05/05/2017
City Hotel,1,43,2017,June,22,3,0,1,G,G,Canceled,21/04/2017
City Hotel,1,3,2017,June,23,6,2,6,G,G,Canceled,06/06/2017
City Hotel,1,38,2017,June,23,8,0,3,G,G,Canceled,03/05/2017
City Hotel,1,30,2017,June,24,15,0,3,G,G,Canceled,08/06/2017
City Hotel,1,18,2017,June,25,20,2,8,G,G,Canceled,05/06/2017
City Hotel,1,19,2017,June,25,20,3,10,G,G,Canceled,01/06/2017
City Hotel,1,109,2017,June,26,25,2,1,G,G,Canceled,03/04/2017
City Hotel,1,29,2017,June,26,26,1,2,G,G,Canceled,28/05/2017
City Hotel,1,31,2017,June,26,26,3,7,G,G,Canceled,28/05/2017
City Hotel,1,55,2017,June,26,29,0,3,G,G,Canceled,14/05/2017
City Hotel,1,365,2017,July,27,7,0,1,G,G,Canceled,07/07/2016
City Hotel,1,45,2017,July,28,9,2,0,G,G,Canceled,26/05/2017
City Hotel,1,155,2017,July,29,17,1,1,G,G,Canceled,08/03/2017
City Hotel,1,2,2017,July,29,22,0,1,G,G,No-Show,22/07/2017
City Hotel,1,134,2017,July,30,24,2,5,G,G,Canceled,21/03/2017
City Hotel,1,298,2017,July,30,26,2,4,G,G,Canceled,09/01/2017
City Hotel,1,194,2017,July,30,27,2,4,G,G,Canceled,20/07/2017
City Hotel,1,72,2017,August,31,5,2,1,G,G,Canceled,25/05/2017
City Hotel,1,23,2017,August,32,9,0,3,G,G,Canceled,26/07/2017
City Hotel,1,188,2017,August,32,10,1,3,G,G,Canceled,10/08/2017
City Hotel,1,31,2017,August,32,11,0,1,G,G,Canceled,12/07/2017
City Hotel,1,25,2017,August,33,16,0,1,G,G,Canceled,02/08/2017
City Hotel,1,29,2017,August,33,18,0,2,G,G,Canceled,26/07/2017
City Hotel,1,123,2017,August,33,18,2,2,G,G,Canceled,25/05/2017
City Hotel,1,158,2017,August,33,19,2,1,G,G,Canceled,24/03/2017
City Hotel,1,150,2017,August,34,21,1,2,G,G,Canceled,24/03/2017
City Hotel,1,159,2017,August,34,23,0,4,G,G,Canceled,08/04/2017
City Hotel,1,161,2017,August,34,23,0,4,G,G,Canceled,16/03/2017
City Hotel,1,64,2017,August,34,26,1,1,G,G,Canceled,27/06/2017
City Hotel,1,25,2017,August,35,27,2,1,G,G,Canceled,16/08/2017
City Hotel,1,135,2017,August,35,29,1,5,G,G,Canceled,17/04/2017
City Hotel,0,71,2016,October,42,15,0,1,G,E,Check-Out,16/10/2016
City Hotel,0,8,2015,September,36,1,0,4,G,G,Check-Out,05/09/2015
City Hotel,0,3,2015,October,42,12,1,1,G,G,Check-Out,14/10/2015
City Hotel,0,2,2015,October,43,21,0,1,G,G,Check-Out,22/10/2015
City Hotel,0,4,2015,December,50,11,0,1,G,G,Check-Out,12/12/2015
City Hotel,0,0,2015,December,51,16,0,1,G,G,Check-Out,17/12/2015
City Hotel,0,0,2016,January,4,20,0,1,G,G,Check-Out,21/01/2016
City Hotel,0,0,2016,March,11,9,0,1,G,F,Check-Out,10/03/2016
City Hotel,1,0,2016,March,13,21,1,1,G,G,Canceled,21/03/2016
City Hotel,0,0,2016,May,19,4,0,1,G,G,Check-Out,05/05/2016
City Hotel,0,1,2016,May,21,17,0,1,G,G,Check-Out,18/05/2016
City Hotel,0,0,2016,June,24,7,0,1,G,G,Check-Out,08/06/2016
City Hotel,0,9,2016,December,50,10,0,1,G,G,Check-Out,11/12/2016
City Hotel,0,0,2016,December,52,19,1,1,G,G,Check-Out,21/12/2016
City Hotel,0,16,2015,September,39,25,2,3,G,G,Check-Out,30/09/2015
City Hotel,0,0,2016,April,17,21,0,1,G,G,Check-Out,22/04/2016
City Hotel,0,4,2015,October,43,18,2,4,G,G,Check-Out,24/10/2015
City Hotel,0,0,2015,October,43,24,2,3,G,A,Check-Out,29/10/2015
City Hotel,0,8,2015,October,43,24,2,3,G,A,Check-Out,29/10/2015
City Hotel,1,21,2015,November,46,13,0,2,G,G,Canceled,04/11/2015
City Hotel,0,0,2015,November,45,5,0,1,G,G,Check-Out,06/11/2015
City Hotel,0,4,2015,November,47,20,0,1,G,G,Check-Out,21/11/2015
City Hotel,1,61,2015,November,48,23,1,3,G,G,No-Show,23/11/2015
City Hotel,0,8,2016,June,26,19,1,0,G,G,Check-Out,20/06/2016
City Hotel,0,0,2016,November,49,29,0,1,G,G,Check-Out,30/11/2016
City Hotel,0,3,2017,January,3,15,2,0,G,G,Check-Out,17/01/2017
City Hotel,0,1,2017,February,5,2,0,2,G,E,Check-Out,04/02/2017
City Hotel,0,7,2017,March,9,2,0,2,G,G,Check-Out,04/03/2017
City Hotel,0,0,2015,December,50,6,1,0,G,G,Check-Out,07/12/2015
City Hotel,0,0,2015,December,50,10,0,1,G,G,Check-Out,11/12/2015
City Hotel,0,0,2016,April,17,20,0,1,G,F,Check-Out,21/04/2016
City Hotel,0,4,2016,May,20,13,0,1,G,G,Check-Out,14/05/2016
City Hotel,0,11,2015,December,50,11,0,2,G,G,Check-Out,13/12/2015
City Hotel,0,15,2015,December,51,17,0,2,G,G,Check-Out,19/12/2015
City Hotel,0,10,2015,December,53,27,2,1,G,G,Check-Out,30/12/2015
City Hotel,0,4,2016,January,4,22,0,2,G,G,Check-Out,24/01/2016
City Hotel,0,3,2016,January,5,25,1,0,G,G,Check-Out,26/01/2016
City Hotel,0,1,2016,January,5,28,0,3,G,G,Check-Out,31/01/2016
City Hotel,0,5,2016,February,6,1,1,0,G,G,Check-Out,02/02/2016
City Hotel,0,8,2016,February,6,6,0,1,G,G,Check-Out,07/02/2016
City Hotel,0,14,2016,February,6,4,0,3,G,G,Check-Out,07/02/2016
City Hotel,0,13,2016,February,6,3,0,4,G,G,Check-Out,07/02/2016
City Hotel,0,15,2016,February,6,5,1,2,G,G,Check-Out,08/02/2016
City Hotel,0,0,2016,February,7,8,1,0,G,G,Check-Out,09/02/2016
City Hotel,0,1,2016,February,9,25,0,1,G,G,Check-Out,26/02/2016
City Hotel,0,4,2016,February,10,28,1,0,G,G,Check-Out,29/02/2016
City Hotel,0,1,2016,March,10,4,0,1,G,G,Check-Out,05/03/2016
City Hotel,0,5,2016,March,12,16,0,2,G,G,Check-Out,18/03/2016
City Hotel,0,45,2016,March,12,15,2,8,G,G,Check-Out,25/03/2016
City Hotel,0,33,2016,March,13,22,0,3,G,G,Check-Out,25/03/2016
City Hotel,0,23,2016,March,13,25,0,1,G,G,Check-Out,26/03/2016
City Hotel,0,77,2016,March,13,24,0,3,G,G,Check-Out,27/03/2016
City Hotel,0,1,2016,March,14,28,1,2,G,F,Check-Out,31/03/2016
City Hotel,0,3,2016,April,15,7,0,2,G,G,Check-Out,09/04/2016
City Hotel,0,4,2016,April,15,8,2,2,G,G,Check-Out,12/04/2016
City Hotel,0,1,2016,April,16,13,0,3,G,F,Check-Out,16/04/2016
City Hotel,0,39,2016,April,16,16,1,1,G,G,Check-Out,18/04/2016
City Hotel,0,36,2016,April,16,15,1,2,G,G,Check-Out,18/04/2016
City Hotel,0,0,2016,May,19,4,0,1,G,G,Check-Out,05/05/2016
City Hotel,0,16,2016,May,19,6,2,2,G,G,Check-Out,10/05/2016
City Hotel,0,40,2016,May,20,13,1,2,G,G,Check-Out,16/05/2016
City Hotel,0,2,2016,May,20,14,1,1,G,G,Check-Out,16/05/2016
City Hotel,0,32,2016,May,20,13,1,2,G,G,Check-Out,16/05/2016
City Hotel,0,7,2016,May,21,19,0,2,G,G,Check-Out,21/05/2016
City Hotel,0,6,2016,May,21,21,1,1,G,G,Check-Out,23/05/2016
City Hotel,0,7,2016,May,21,18,2,4,G,G,Check-Out,24/05/2016
City Hotel,0,9,2016,May,21,21,2,2,G,G,Check-Out,25/05/2016
City Hotel,0,9,2016,May,22,26,0,2,G,G,Check-Out,28/05/2016
City Hotel,0,10,2016,May,22,26,0,3,G,G,Check-Out,29/05/2016
City Hotel,0,32,2016,May,22,26,1,3,G,G,Check-Out,30/05/2016
City Hotel,0,38,2016,May,22,27,2,2,G,G,Check-Out,31/05/2016
City Hotel,0,2,2016,September,39,21,0,1,G,G,Check-Out,22/09/2016
City Hotel,0,7,2016,June,23,3,0,1,G,G,Check-Out,04/06/2016
City Hotel,0,2,2016,June,24,6,1,0,G,G,Check-Out,07/06/2016
City Hotel,0,16,2016,June,25,12,1,0,G,G,Check-Out,13/06/2016
City Hotel,0,4,2016,June,24,11,2,1,G,G,Check-Out,14/06/2016
City Hotel,0,1,2016,June,26,21,0,3,G,G,Check-Out,24/06/2016
City Hotel,0,5,2016,June,26,23,0,3,G,G,Check-Out,26/06/2016
City Hotel,0,190,2016,June,26,22,1,4,G,G,Check-Out,27/06/2016
City Hotel,0,17,2016,June,27,29,0,2,G,G,Check-Out,01/07/2016
City Hotel,0,1,2016,June,27,29,0,3,G,G,Check-Out,02/07/2016
City Hotel,0,82,2016,July,27,2,0,1,G,G,Check-Out,03/07/2016
City Hotel,0,53,2016,July,27,1,1,2,G,G,Check-Out,04/07/2016
City Hotel,0,11,2016,July,28,4,1,0,G,G,Check-Out,05/07/2016
City Hotel,0,25,2016,July,28,4,1,1,G,G,Check-Out,06/07/2016
City Hotel,0,0,2016,July,28,7,0,1,G,G,Check-Out,08/07/2016
City Hotel,0,4,2016,July,28,8,1,2,G,G,Check-Out,11/07/2016
City Hotel,0,0,2016,July,28,8,2,2,G,G,Check-Out,12/07/2016
City Hotel,0,177,2016,July,29,10,2,1,G,G,Check-Out,13/07/2016
City Hotel,0,119,2016,July,29,10,2,2,G,G,Check-Out,14/07/2016
City Hotel,0,86,2016,July,29,15,0,2,G,G,Check-Out,17/07/2016
City Hotel,0,70,2016,July,29,14,1,3,G,G,Check-Out,18/07/2016
City Hotel,0,7,2016,July,30,17,2,0,G,G,Check-Out,19/07/2016
City Hotel,0,37,2016,July,29,13,2,5,G,G,Check-Out,20/07/2016
City Hotel,0,3,2016,July,30,19,0,1,G,B,Check-Out,20/07/2016
City Hotel,0,0,2016,July,30,19,0,1,G,B,Check-Out,20/07/2016
City Hotel,0,7,2016,July,30,19,0,3,G,G,Check-Out,22/07/2016
City Hotel,0,13,2016,July,29,13,2,7,G,G,Check-Out,22/07/2016
City Hotel,0,178,2016,July,30,20,0,2,G,G,Check-Out,22/07/2016
City Hotel,0,99,2016,July,30,22,1,2,G,G,Check-Out,25/07/2016
City Hotel,0,158,2016,July,30,23,2,2,G,G,Check-Out,27/07/2016
City Hotel,0,172,2016,July,30,23,2,2,G,G,Check-Out,27/07/2016
City Hotel,0,96,2016,July,30,23,2,3,G,G,Check-Out,28/07/2016
City Hotel,0,45,2016,July,31,27,0,1,G,G,Check-Out,28/07/2016
City Hotel,0,15,2016,July,31,26,0,3,G,G,Check-Out,29/07/2016
City Hotel,0,9,2016,July,31,28,0,1,G,G,Check-Out,29/07/2016
City Hotel,0,25,2016,July,31,29,0,1,G,G,Check-Out,30/07/2016
City Hotel,0,15,2016,July,31,29,0,1,G,G,Check-Out,30/07/2016
City Hotel,0,58,2016,July,31,27,0,3,G,G,Check-Out,30/07/2016
City Hotel,0,20,2016,July,31,29,0,2,G,G,Check-Out,31/07/2016
City Hotel,0,0,2016,August,32,4,0,1,G,G,Check-Out,05/08/2016
City Hotel,0,67,2016,August,32,1,1,2,G,G,Check-Out,04/08/2016
City Hotel,0,127,2016,July,32,31,2,2,G,G,Check-Out,04/08/2016
City Hotel,0,108,2016,August,32,2,0,3,G,G,Check-Out,05/08/2016
City Hotel,0,206,2016,August,32,5,0,1,G,G,Check-Out,06/08/2016
City Hotel,0,23,2016,August,32,6,0,1,G,G,Check-Out,07/08/2016
City Hotel,0,145,2016,August,32,4,0,3,G,G,Check-Out,07/08/2016
City Hotel,0,0,2016,August,33,7,1,0,G,G,Check-Out,08/08/2016
City Hotel,0,103,2016,August,32,2,2,5,G,G,Check-Out,09/08/2016
City Hotel,0,65,2016,August,33,8,1,2,G,G,Check-Out,11/08/2016
City Hotel,0,158,2016,August,33,8,1,2,G,G,Check-Out,11/08/2016
City Hotel,0,13,2016,August,33,10,0,3,G,G,Check-Out,13/08/2016
City Hotel,0,116,2016,August,33,12,0,1,G,G,Check-Out,13/08/2016
City Hotel,0,39,2016,August,33,13,0,1,G,G,Check-Out,14/08/2016
City Hotel,0,116,2016,August,33,11,1,3,G,G,Check-Out,15/08/2016
City Hotel,0,40,2016,August,33,13,1,1,G,G,Check-Out,15/08/2016
City Hotel,0,10,2016,August,34,15,1,0,G,G,Check-Out,16/08/2016
City Hotel,0,101,2016,August,34,15,1,1,G,G,Check-Out,17/08/2016
City Hotel,0,120,2016,August,32,5,4,10,G,G,Check-Out,19/08/2016
City Hotel,0,38,2016,August,34,16,0,3,G,G,Check-Out,19/08/2016
City Hotel,0,32,2016,August,34,17,0,2,G,G,Check-Out,19/08/2016
City Hotel,0,17,2016,August,34,19,0,2,G,G,Check-Out,21/08/2016
City Hotel,0,112,2016,August,34,14,2,5,G,G,Check-Out,21/08/2016
City Hotel,0,50,2016,August,34,19,1,2,G,G,Check-Out,22/08/2016
City Hotel,0,73,2016,August,35,21,1,0,G,G,Check-Out,22/08/2016
City Hotel,0,10,2016,August,35,22,1,4,G,G,Check-Out,27/08/2016
City Hotel,0,11,2016,August,35,24,0,3,G,G,Check-Out,27/08/2016
City Hotel,0,110,2016,August,35,21,2,5,G,G,Check-Out,28/08/2016
City Hotel,0,48,2016,August,35,25,2,3,G,G,Check-Out,30/08/2016
City Hotel,0,51,2016,August,36,29,1,1,G,G,Check-Out,31/08/2016
City Hotel,0,152,2016,August,36,28,2,1,G,G,Check-Out,31/08/2016
City Hotel,0,121,2016,August,36,31,0,1,G,G,Check-Out,01/09/2016
City Hotel,0,94,2017,June,22,2,0,1,G,G,Check-Out,03/06/2017
City Hotel,0,121,2016,August,36,31,0,1,G,G,Check-Out,01/09/2016
City Hotel,0,22,2016,August,36,30,0,2,G,G,Check-Out,01/09/2016
City Hotel,0,11,2016,August,36,28,2,2,G,G,Check-Out,01/09/2016
City Hotel,0,31,2016,September,37,5,1,2,G,G,Check-Out,08/09/2016
City Hotel,0,32,2016,September,36,2,2,5,G,G,Check-Out,09/09/2016
City Hotel,0,46,2016,September,37,5,1,3,G,G,Check-Out,09/09/2016
City Hotel,0,2,2016,September,37,9,0,1,G,F,Check-Out,10/09/2016
City Hotel,0,8,2016,December,53,30,1,2,G,G,Check-Out,02/01/2017
City Hotel,0,0,2016,September,37,9,0,1,G,G,Check-Out,10/09/2016
City Hotel,0,11,2016,September,37,10,0,1,G,G,Check-Out,11/09/2016
City Hotel,0,21,2016,September,37,7,0,4,G,G,Check-Out,11/09/2016
City Hotel,0,9,2016,September,38,11,1,0,G,G,Check-Out,12/09/2016
City Hotel,0,34,2016,September,38,11,2,2,G,G,Check-Out,15/09/2016
City Hotel,0,22,2016,September,37,8,2,6,G,G,Check-Out,16/09/2016
City Hotel,0,30,2016,September,38,13,0,3,G,G,Check-Out,16/09/2016
City Hotel,0,31,2016,September,37,10,2,5,G,G,Check-Out,17/09/2016
City Hotel,0,36,2016,September,38,16,0,2,G,G,Check-Out,18/09/2016
City Hotel,0,10,2016,September,38,15,0,3,G,G,Check-Out,18/09/2016
City Hotel,0,39,2016,September,38,16,1,2,G,G,Check-Out,19/09/2016
City Hotel,0,0,2016,September,39,19,1,0,G,G,Check-Out,20/09/2016
City Hotel,0,1,2017,March,11,15,0,1,G,G,Check-Out,16/03/2017
City Hotel,0,0,2017,March,12,24,0,1,G,G,Check-Out,25/03/2017
City Hotel,0,3,2017,June,23,9,0,1,G,G,Check-Out,10/06/2017
City Hotel,0,0,2016,September,39,20,0,1,G,G,Check-Out,21/09/2016
City Hotel,0,17,2016,September,38,17,2,2,G,G,Check-Out,21/09/2016
City Hotel,0,0,2016,September,39,22,0,1,G,G,Check-Out,23/09/2016
City Hotel,0,6,2016,September,39,22,0,3,G,G,Check-Out,25/09/2016
City Hotel,0,3,2016,September,39,22,0,3,G,G,Check-Out,25/09/2016
City Hotel,0,67,2017,March,11,17,1,2,G,G,Check-Out,20/03/2017
City Hotel,0,27,2016,September,39,23,1,2,G,G,Check-Out,26/09/2016
City Hotel,0,29,2016,September,40,26,1,2,G,F,Check-Out,29/09/2016
City Hotel,0,6,2016,September,40,25,2,2,G,G,Check-Out,29/09/2016
City Hotel,0,9,2016,October,40,1,2,1,G,G,Check-Out,04/10/2016
City Hotel,0,5,2016,October,40,1,2,2,G,G,Check-Out,05/10/2016
City Hotel,0,3,2016,October,41,7,1,2,G,G,Check-Out,10/10/2016
City Hotel,0,7,2016,October,42,10,0,0,G,G,Check-Out,10/10/2016
City Hotel,0,3,2016,October,41,7,2,2,G,G,Check-Out,11/10/2016
City Hotel,0,7,2016,October,42,13,0,2,G,G,Check-Out,15/10/2016
City Hotel,0,5,2016,October,42,13,0,2,G,G,Check-Out,15/10/2016
City Hotel,0,0,2016,October,42,15,0,0,G,C,Check-Out,15/10/2016
City Hotel,0,53,2016,October,41,8,3,6,G,G,Check-Out,17/10/2016
City Hotel,0,39,2016,October,43,17,1,3,G,G,Check-Out,21/10/2016
City Hotel,0,86,2016,October,43,20,0,3,G,G,Check-Out,23/10/2016
City Hotel,0,129,2016,October,42,15,2,5,G,G,Check-Out,22/10/2016
City Hotel,0,41,2016,October,42,15,2,5,G,G,Check-Out,22/10/2016
City Hotel,0,18,2016,October,43,22,1,1,G,G,Check-Out,24/10/2016
City Hotel,0,66,2016,October,44,24,1,2,G,G,Check-Out,27/10/2016
City Hotel,0,66,2016,October,44,23,2,2,G,G,Check-Out,27/10/2016
City Hotel,0,213,2016,October,43,22,2,5,G,G,Check-Out,29/10/2016
City Hotel,0,52,2016,October,44,28,1,2,G,G,Check-Out,31/10/2016
City Hotel,0,32,2016,October,44,29,2,1,G,G,Check-Out,01/11/2016
City Hotel,0,54,2016,October,44,28,2,2,G,G,Check-Out,01/11/2016
City Hotel,0,13,2016,November,46,10,0,1,G,G,Check-Out,11/11/2016
City Hotel,0,9,2016,November,46,10,0,3,G,G,Check-Out,13/11/2016
City Hotel,0,109,2016,December,50,8,0,3,G,G,Check-Out,11/12/2016
City Hotel,0,2,2016,December,50,10,0,1,G,G,Check-Out,11/12/2016
City Hotel,0,101,2016,December,51,15,2,3,G,G,Check-Out,20/12/2016
City Hotel,0,18,2016,December,52,23,0,2,G,G,Check-Out,25/12/2016
City Hotel,0,0,2016,December,52,22,1,3,G,A,Check-Out,26/12/2016
City Hotel,0,78,2016,December,52,20,1,5,G,A,Check-Out,26/12/2016
City Hotel,0,74,2016,December,53,25,2,1,G,G,Check-Out,28/12/2016
City Hotel,0,74,2016,December,53,25,2,1,G,G,Check-Out,28/12/2016
City Hotel,0,0,2016,December,53,28,0,1,G,G,Check-Out,29/12/2016
City Hotel,0,173,2016,December,53,26,1,3,G,K,Check-Out,30/12/2016
