Hotel,Is_Canceled,Lead_Time,Arrival_Year,Arrival_Month,Arrival_Week_Number,Arrival_Day,Weekend_Nights,Week_Nights,Reserved_Room_Type,Assigned_Room_Type,Reservation_Status,Reservation_Status_Date
City Hotel,1,0,2016,November,47,17,4,11,P,P,Canceled,17/11/2016
City Hotel,1,0,2016,December,50,6,0,0,P,P,Canceled,06/12/2016
City Hotel,1,0,2016,December,50,6,0,0,P,P,Canceled,06/12/2016
City Hotel,1,0,2016,December,50,6,0,0,P,P,Canceled,06/12/2016
City Hotel,1,0,2017,April,15,10,0,0,P,P,Canceled,10/04/2017
City Hotel,1,0,2017,April,15,10,0,0,P,P,Canceled,10/04/2017
City Hotel,1,0,2017,April,15,10,0,0,P,P,Canceled,10/04/2017
City Hotel,1,0,2017,April,15,10,0,0,P,P,Canceled,10/04/2017
City Hotel,1,0,2017,August,32,11,0,0,P,P,Canceled,11/08/2017
City Hotel,1,0,2017,August,32,11,0,0,P,P,Canceled,11/08/2017
