Hotel,Is_Canceled,Lead_Time,Arrival_Year,Arrival_Month,Arrival_Week_Number,Arrival_Day,Weekend_Nights,Week_Nights,Reserved_Room_Type,Assigned_Room_Type,Reservation_Status,Reservation_Status_Date
Resort Hotel,0,342,2015,July,27,1,0,0,C,C,Check-Out,01/07/2015
Resort Hotel,0,737,2015,July,27,1,0,0,C,C,Check-Out,01/07/2015
Resort Hotel,0,0,2015,July,27,1,0,2,C,C,Check-Out,03/07/2015
Resort Hotel,0,9,2015,July,27,1,0,2,C,C,Check-Out,03/07/2015
Resort Hotel,0,1,2015,July,27,2,0,1,C,C,Check-Out,03/07/2015
Resort Hotel,0,9,2015,July,27,3,0,1,C,C,Check-Out,04/07/2015
Resort Hotel,0,97,2015,July,28,5,2,5,C,C,Check-Out,12/07/2015
Resort Hotel,0,0,2015,July,28,7,0,1,C,C,Check-Out,08/07/2015
Resort Hotel,0,17,2015,July,28,9,0,1,C,C,Check-Out,10/07/2015
Resort Hotel,1,24,2015,July,28,9,0,3,C,C,Canceled,16/06/2015
Resort Hotel,0,37,2015,July,28,10,1,2,C,C,Check-Out,13/07/2015
Resort Hotel,0,21,2015,July,28,10,2,3,C,C,Check-Out,15/07/2015
Resort Hotel,0,87,2015,July,28,10,2,5,C,C,Check-Out,17/07/2015
Resort Hotel,0,11,2015,July,28,10,2,6,C,C,Check-Out,18/07/2015
Resort Hotel,0,32,2015,July,28,10,4,9,C,C,Check-Out,23/07/2015
Resort Hotel,0,16,2015,July,28,11,1,1,C,C,Check-Out,13/07/2015
Resort Hotel,1,58,2015,July,29,12,2,5,C,C,Canceled,29/06/2015
Resort Hotel,0,7,2015,July,29,16,0,1,C,C,Check-Out,17/07/2015
Resort Hotel,1,37,2015,July,29,18,2,4,C,C,Canceled,18/07/2015
Resort Hotel,0,106,2015,July,29,18,2,3,C,C,Check-Out,23/07/2015
Resort Hotel,0,0,2015,July,29,18,0,1,C,C,Check-Out,19/07/2015
Resort Hotel,0,41,2015,July,30,19,2,5,C,C,Check-Out,26/07/2015
Resort Hotel,0,29,2015,July,30,19,4,6,C,C,Check-Out,29/07/2015
Resort Hotel,0,65,2015,July,30,20,2,5,C,C,Check-Out,27/07/2015
Resort Hotel,0,16,2015,July,30,23,0,0,C,I,Check-Out,23/07/2015
Resort Hotel,0,0,2015,July,30,23,0,1,C,C,Check-Out,24/07/2015
Resort Hotel,0,33,2015,July,30,25,2,3,C,C,Check-Out,30/07/2015
Resort Hotel,0,38,2015,July,31,26,2,5,C,C,Check-Out,02/08/2015
Resort Hotel,0,52,2015,July,31,30,0,3,C,C,Check-Out,30/07/2015
Resort Hotel,1,3,2015,August,31,1,2,3,C,C,Canceled,29/07/2015
Resort Hotel,1,74,2015,August,31,1,2,5,C,C,Canceled,15/07/2015
Resort Hotel,1,80,2015,August,31,1,4,6,C,C,Canceled,21/07/2015
Resort Hotel,1,57,2015,August,31,1,4,10,C,C,Canceled,07/07/2015
Resort Hotel,0,34,2015,August,32,2,2,5,C,C,Check-Out,09/08/2015
Resort Hotel,0,21,2015,August,32,3,0,0,C,F,Check-Out,03/08/2015
Resort Hotel,0,0,2015,August,32,3,1,0,C,C,Check-Out,04/08/2015
Resort Hotel,1,13,2015,August,32,3,1,4,C,C,Canceled,24/07/2015
Resort Hotel,0,13,2015,August,32,4,0,4,C,C,Check-Out,08/08/2015
Resort Hotel,0,13,2015,August,32,4,0,4,C,C,Check-Out,08/08/2015
Resort Hotel,1,73,2015,August,32,7,2,5,C,C,Canceled,09/07/2015
Resort Hotel,0,116,2015,August,32,7,2,5,C,C,Check-Out,14/08/2015
Resort Hotel,1,78,2015,August,32,8,1,1,C,C,Canceled,12/06/2015
Resort Hotel,1,60,2015,August,32,8,2,5,C,C,Canceled,27/07/2015
Resort Hotel,0,75,2015,August,32,8,2,5,C,C,Check-Out,15/08/2015
Resort Hotel,0,81,2015,August,33,9,2,4,C,C,Check-Out,15/08/2015
Resort Hotel,1,27,2015,August,33,11,0,4,C,C,Canceled,17/07/2015
Resort Hotel,0,66,2015,August,33,11,2,10,C,C,Check-Out,23/08/2015
Resort Hotel,0,47,2015,August,33,13,0,3,C,C,Check-Out,16/08/2015
Resort Hotel,0,52,2015,August,33,14,2,5,C,C,Check-Out,21/08/2015
Resort Hotel,1,22,2015,August,33,14,2,5,C,C,Canceled,05/08/2015
Resort Hotel,1,54,2015,August,33,15,2,5,C,C,Canceled,06/07/2015
Resort Hotel,1,53,2015,August,33,15,2,6,C,C,Canceled,25/06/2015
Resort Hotel,1,54,2015,August,34,16,4,10,C,C,Canceled,20/07/2015
Resort Hotel,0,57,2015,August,34,18,1,5,C,C,Check-Out,24/08/2015
Resort Hotel,0,126,2015,August,34,18,1,5,C,C,Check-Out,24/08/2015
Resort Hotel,0,57,2015,August,34,18,2,5,C,C,Check-Out,25/08/2015
Resort Hotel,0,64,2015,August,34,20,2,4,C,C,Check-Out,26/08/2015
Resort Hotel,0,70,2015,August,34,22,2,4,C,C,Check-Out,28/08/2015
Resort Hotel,0,82,2015,August,35,23,2,3,C,C,Check-Out,28/08/2015
Resort Hotel,0,59,2015,August,35,23,4,10,C,C,Check-Out,06/09/2015
Resort Hotel,0,58,2015,August,35,24,1,4,C,C,Check-Out,29/08/2015
Resort Hotel,1,70,2015,August,35,24,2,5,C,C,Canceled,16/06/2015
Resort Hotel,0,10,2015,August,35,27,2,5,C,C,Check-Out,03/09/2015
Resort Hotel,0,31,2015,August,35,28,0,2,C,C,Check-Out,30/08/2015
Resort Hotel,1,35,2015,August,35,28,2,4,C,C,Canceled,31/07/2015
Resort Hotel,0,2,2015,August,35,29,2,4,C,C,Check-Out,04/09/2015
Resort Hotel,0,26,2015,August,36,31,1,3,C,C,Check-Out,04/09/2015
Resort Hotel,1,38,2015,September,36,1,0,2,C,C,Canceled,06/08/2015
Resort Hotel,0,27,2015,September,36,1,0,3,C,C,Check-Out,04/09/2015
Resort Hotel,0,50,2015,September,36,1,0,4,C,C,Check-Out,05/09/2015
Resort Hotel,1,29,2015,September,36,4,2,6,C,C,Canceled,06/08/2015
Resort Hotel,0,26,2015,September,36,5,2,5,C,C,Check-Out,12/09/2015
Resort Hotel,1,50,2015,September,36,5,2,6,C,C,Canceled,04/09/2015
Resort Hotel,1,12,2015,September,37,6,1,0,C,C,Canceled,25/08/2015
Resort Hotel,1,27,2015,September,37,6,2,3,C,C,Canceled,18/08/2015
Resort Hotel,0,3,2015,September,37,10,0,1,C,H,Check-Out,11/09/2015
Resort Hotel,0,2,2015,September,38,13,2,3,C,C,Check-Out,18/09/2015
Resort Hotel,0,19,2015,September,38,14,1,4,C,C,Check-Out,19/09/2015
Resort Hotel,0,0,2015,September,38,16,0,1,C,C,Check-Out,17/09/2015
Resort Hotel,1,35,2015,September,38,17,2,5,C,C,Canceled,13/08/2015
Resort Hotel,1,32,2015,September,38,18,2,2,C,C,Canceled,22/08/2015
Resort Hotel,1,36,2015,September,38,19,2,2,C,C,Canceled,17/08/2015
Resort Hotel,0,33,2015,September,38,19,2,5,C,C,Check-Out,26/09/2015
Resort Hotel,1,36,2015,September,39,22,0,4,C,C,Canceled,08/09/2015
Resort Hotel,1,7,2015,September,39,25,0,1,C,G,Canceled,23/09/2015
Resort Hotel,0,14,2015,October,41,5,2,5,C,C,Check-Out,12/10/2015
Resort Hotel,1,77,2015,October,41,8,0,3,C,C,No-Show,08/10/2015
Resort Hotel,0,19,2015,October,42,12,3,5,C,C,Check-Out,20/10/2015
Resort Hotel,0,74,2015,October,43,18,2,5,C,C,Check-Out,25/10/2015
Resort Hotel,0,9,2015,October,44,25,3,5,C,C,Check-Out,02/11/2015
Resort Hotel,0,3,2015,November,45,3,0,4,C,C,Check-Out,07/11/2015
Resort Hotel,0,10,2015,November,47,19,0,2,C,C,Check-Out,21/11/2015
Resort Hotel,0,15,2015,November,47,21,0,1,C,H,Check-Out,22/11/2015
Resort Hotel,0,15,2015,November,47,21,0,1,C,H,Check-Out,22/11/2015
Resort Hotel,0,15,2015,November,47,21,0,1,C,H,Check-Out,22/11/2015
Resort Hotel,1,94,2015,December,52,21,3,6,C,C,Canceled,22/09/2015
Resort Hotel,0,155,2015,December,52,24,0,3,C,C,Check-Out,27/12/2015
Resort Hotel,1,99,2015,December,52,24,4,10,C,C,Canceled,06/10/2015
Resort Hotel,1,107,2015,December,52,26,2,4,C,C,No-Show,26/12/2015
Resort Hotel,0,53,2015,December,53,30,0,3,C,C,Check-Out,02/01/2016
Resort Hotel,1,55,2015,December,53,31,0,3,C,C,Canceled,17/11/2015
Resort Hotel,1,12,2016,February,6,6,2,1,C,C,Canceled,25/01/2016
Resort Hotel,1,5,2016,February,9,27,1,1,C,C,Canceled,27/02/2016
Resort Hotel,1,57,2016,March,12,19,1,1,C,G,Canceled,14/03/2016
Resort Hotel,1,45,2016,March,12,19,2,1,C,C,Canceled,04/02/2016
Resort Hotel,1,33,2016,March,13,20,2,3,C,C,Canceled,15/03/2016
Resort Hotel,1,79,2016,March,13,24,0,3,C,C,Canceled,14/03/2016
Resort Hotel,1,57,2016,March,13,24,0,3,C,C,Canceled,28/01/2016
Resort Hotel,0,149,2016,April,15,8,2,6,C,C,Check-Out,16/04/2016
Resort Hotel,1,72,2016,April,18,24,2,5,C,C,Canceled,22/02/2016
Resort Hotel,1,129,2016,May,19,3,2,7,C,C,Canceled,22/04/2016
Resort Hotel,0,216,2016,June,23,1,2,7,C,C,Check-Out,10/06/2016
Resort Hotel,1,62,2016,June,25,14,0,5,C,C,Canceled,04/05/2016
Resort Hotel,1,117,2016,June,26,25,3,6,C,C,Canceled,24/05/2016
Resort Hotel,1,116,2016,June,27,26,3,5,C,C,Canceled,27/05/2016
Resort Hotel,1,116,2016,June,27,26,3,5,C,C,Canceled,27/05/2016
Resort Hotel,1,170,2016,July,27,2,2,1,C,C,Canceled,10/03/2016
Resort Hotel,0,317,2016,July,28,4,1,3,C,C,Check-Out,08/07/2016
Resort Hotel,1,26,2016,July,29,11,1,4,C,C,Canceled,21/06/2016
Resort Hotel,1,16,2016,July,29,14,2,5,C,C,Canceled,30/06/2016
Resort Hotel,1,263,2016,July,30,17,2,3,C,C,Canceled,25/02/2016
Resort Hotel,1,137,2016,July,30,17,2,3,C,C,Canceled,04/07/2016
Resort Hotel,1,224,2016,July,30,18,1,4,C,C,Canceled,14/06/2016
Resort Hotel,1,155,2016,July,30,20,1,4,C,C,Canceled,22/03/2016
Resort Hotel,1,0,2016,July,30,23,0,1,C,C,Canceled,23/07/2016
Resort Hotel,1,159,2016,July,31,24,2,2,C,C,Canceled,07/03/2016
Resort Hotel,1,47,2016,July,31,28,0,3,C,C,Canceled,25/07/2016
Resort Hotel,1,14,2016,July,31,30,2,5,C,C,Canceled,18/07/2016
Resort Hotel,0,150,2016,July,31,30,2,5,C,C,Check-Out,06/08/2016
Resort Hotel,1,228,2016,July,31,30,2,6,C,C,Canceled,19/07/2016
Resort Hotel,1,142,2016,July,31,30,2,6,C,C,Canceled,19/07/2016
Resort Hotel,1,199,2016,July,31,30,3,6,C,C,Canceled,11/04/2016
Resort Hotel,1,16,2016,July,32,31,2,5,C,C,Canceled,16/07/2016
Resort Hotel,1,152,2016,August,32,1,2,5,C,C,Canceled,11/07/2016
Resort Hotel,1,5,2016,August,32,2,0,1,C,C,Canceled,28/07/2016
Resort Hotel,1,36,2016,August,32,2,0,4,C,C,Canceled,28/07/2016
Resort Hotel,1,16,2016,August,32,3,1,4,C,C,Canceled,21/07/2016
Resort Hotel,1,156,2016,August,32,5,2,5,C,C,Canceled,28/07/2016
Resort Hotel,1,1,2016,August,33,7,1,0,C,C,Canceled,06/08/2016
Resort Hotel,1,1,2016,August,33,7,1,0,C,C,Canceled,06/08/2016
Resort Hotel,1,44,2016,August,33,7,2,0,C,C,Canceled,20/07/2016
Resort Hotel,1,60,2016,August,33,8,1,3,C,C,Canceled,09/06/2016
Resort Hotel,1,60,2016,August,33,8,1,3,C,C,Canceled,14/06/2016
Resort Hotel,1,65,2016,August,33,8,3,9,C,C,Canceled,06/06/2016
Resort Hotel,1,112,2016,August,33,9,2,5,C,C,Canceled,21/04/2016
Resort Hotel,1,162,2016,August,33,13,2,5,C,C,Canceled,08/03/2016
Resort Hotel,1,49,2016,August,34,14,2,2,C,C,Canceled,26/06/2016
Resort Hotel,1,85,2016,August,34,14,4,10,C,C,Canceled,06/06/2016
Resort Hotel,1,78,2016,August,34,15,1,4,C,C,Canceled,30/05/2016
Resort Hotel,1,78,2016,August,34,15,1,4,C,C,Canceled,30/05/2016
Resort Hotel,1,78,2016,August,34,15,1,4,C,C,Canceled,30/05/2016
Resort Hotel,1,70,2016,August,34,19,2,3,C,C,Canceled,17/06/2016
Resort Hotel,1,67,2016,August,35,21,4,6,C,C,Canceled,15/06/2016
Resort Hotel,1,137,2016,August,35,24,1,4,C,C,Canceled,21/04/2016
Resort Hotel,1,15,2016,August,35,24,2,5,C,C,Canceled,10/08/2016
Resort Hotel,1,90,2016,August,35,24,2,8,C,C,Canceled,09/06/2016
Resort Hotel,1,14,2016,August,35,26,2,5,C,C,Canceled,18/08/2016
Resort Hotel,1,19,2016,September,37,4,2,4,C,C,No-Show,04/09/2016
Resort Hotel,1,164,2016,September,37,4,2,5,C,C,Canceled,11/08/2016
Resort Hotel,1,18,2016,September,37,9,2,3,C,C,Canceled,31/08/2016
Resort Hotel,1,20,2016,November,46,8,0,3,C,C,Canceled,19/10/2016
Resort Hotel,1,25,2016,November,48,25,1,2,C,C,Canceled,07/11/2016
Resort Hotel,1,29,2016,November,48,26,1,1,C,C,Canceled,08/11/2016
Resort Hotel,1,125,2016,December,53,26,2,5,C,C,Canceled,16/12/2016
Resort Hotel,1,18,2017,February,6,9,2,7,C,C,No-Show,09/02/2017
