Hotel,Is_Canceled,Lead_Time,Arrival_Year,Arrival_Month,Arrival_Week_Number,Arrival_Day,Weekend_Nights,Week_Nights,Reserved_Room_Type,Assigned_Room_Type,Reservation_Status,Reservation_Status_Date
Resort Hotel,0,37,2015,July,27,1,1,4,F,F,Check-Out,06/07/2015
Resort Hotel,0,16,2015,July,27,2,2,3,F,F,Check-Out,07/07/2015
Resort Hotel,0,17,2015,July,27,2,0,3,F,F,Check-Out,05/07/2015
Resort Hotel,0,69,2015,July,27,3,4,10,F,F,Check-Out,17/07/2015
Resort Hotel,1,63,2015,July,27,3,2,5,F,F,Canceled,13/05/2015
Resort Hotel,0,92,2015,July,27,4,2,4,F,F,Check-Out,10/07/2015
Resort Hotel,0,29,2015,July,28,5,2,5,F,F,Check-Out,12/07/2015
Resort Hotel,0,34,2015,July,28,6,1,4,F,F,Check-Out,11/07/2015
Resort Hotel,0,33,2015,July,28,6,3,7,F,F,Check-Out,16/07/2015
Resort Hotel,0,21,2015,July,28,7,0,3,F,F,Check-Out,10/07/2015
Resort Hotel,0,30,2015,July,28,10,2,2,F,F,Check-Out,14/07/2015
Resort Hotel,0,30,2015,July,28,10,2,2,F,F,Check-Out,14/07/2015
Resort Hotel,0,34,2015,July,28,10,2,5,F,F,Check-Out,17/07/2015
Resort Hotel,0,41,2015,July,28,10,4,7,F,F,Check-Out,21/07/2015
Resort Hotel,0,34,2015,July,28,10,2,5,F,F,Check-Out,17/07/2015
Resort Hotel,0,40,2015,July,29,12,2,0,F,E,Check-Out,14/07/2015
Resort Hotel,1,47,2015,July,29,12,2,3,F,F,No-Show,12/07/2015
Resort Hotel,0,50,2015,July,29,16,0,1,F,F,Check-Out,17/07/2015
Resort Hotel,1,0,2015,July,29,16,0,1,F,F,Canceled,16/07/2015
Resort Hotel,0,25,2015,July,29,17,3,7,F,F,Check-Out,27/07/2015
Resort Hotel,1,28,2015,July,30,20,2,5,F,F,Canceled,20/07/2015
Resort Hotel,0,28,2015,July,30,20,2,5,F,F,Check-Out,27/07/2015
Resort Hotel,0,6,2015,July,31,27,1,3,F,F,Check-Out,31/07/2015
Resort Hotel,0,31,2015,July,31,27,1,3,F,F,Check-Out,31/07/2015
Resort Hotel,0,47,2015,July,31,28,0,4,F,F,Check-Out,01/08/2015
Resort Hotel,1,54,2015,July,31,29,2,5,F,F,Canceled,08/06/2015
Resort Hotel,0,0,2015,July,31,31,0,1,F,F,Check-Out,01/08/2015
Resort Hotel,1,10,2015,August,31,1,0,1,F,F,Canceled,29/07/2015
Resort Hotel,1,10,2015,August,31,1,0,1,F,F,Canceled,29/07/2015
Resort Hotel,1,36,2015,August,32,4,0,3,F,F,Canceled,29/07/2015
Resort Hotel,1,54,2015,August,32,8,2,5,F,F,Canceled,08/08/2015
Resort Hotel,0,35,2015,August,33,10,1,5,F,F,Check-Out,16/08/2015
Resort Hotel,1,60,2015,August,33,10,3,5,F,F,Canceled,22/06/2015
Resort Hotel,1,60,2015,August,33,10,3,5,F,F,Canceled,22/06/2015
Resort Hotel,1,91,2015,August,33,14,2,2,F,F,Canceled,25/05/2015
Resort Hotel,0,77,2015,August,34,21,3,7,F,F,Check-Out,31/08/2015
Resort Hotel,1,89,2015,August,35,24,3,6,F,F,Canceled,01/06/2015
Resort Hotel,1,89,2015,August,35,24,3,6,F,F,Canceled,01/06/2015
Resort Hotel,1,77,2015,August,35,25,2,7,F,F,Canceled,20/07/2015
Resort Hotel,0,25,2015,August,35,28,2,2,F,F,Check-Out,01/09/2015
Resort Hotel,0,30,2015,August,35,28,2,5,F,F,Check-Out,04/09/2015
Resort Hotel,0,82,2015,August,36,30,2,5,F,F,Check-Out,06/09/2015
Resort Hotel,0,0,2015,September,36,4,0,2,F,F,Check-Out,06/09/2015
Resort Hotel,0,26,2015,September,36,5,2,5,F,F,Check-Out,12/09/2015
Resort Hotel,1,26,2015,September,37,6,2,3,F,F,Canceled,11/08/2015
Resort Hotel,0,78,2015,September,37,6,2,5,F,F,Check-Out,13/09/2015
Resort Hotel,0,12,2015,September,37,8,2,5,F,G,Check-Out,15/09/2015
Resort Hotel,0,0,2015,September,37,9,0,1,F,F,Check-Out,10/09/2015
Resort Hotel,1,94,2015,September,37,10,2,5,F,F,Canceled,11/06/2015
Resort Hotel,1,80,2015,September,37,10,1,3,F,F,Canceled,15/07/2015
Resort Hotel,1,10,2015,September,38,13,2,3,F,F,Canceled,04/09/2015
Resort Hotel,0,7,2015,September,38,18,0,2,F,F,Check-Out,20/09/2015
Resort Hotel,0,7,2015,September,38,18,0,2,F,F,Check-Out,20/09/2015
Resort Hotel,0,48,2015,September,38,18,1,2,F,G,Check-Out,21/09/2015
Resort Hotel,0,65,2015,September,39,21,2,5,F,F,Check-Out,28/09/2015
