Hotel,Is_Canceled,Lead_Time,Arrival_Year,Arrival_Month,Arrival_Week_Number,Arrival_Day,Weekend_Nights,Week_Nights,Reserved_Room_Type,Assigned_Room_Type,Reservation_Status,Reservation_Status_Date
Resort Hotel,0,18,2015,July,27,1,0,4,G,G,Check-Out,05/07/2015
Resort Hotel,0,7,2015,July,27,1,0,4,G,G,Check-Out,05/07/2015
Resort Hotel,1,45,2015,July,27,2,2,3,G,G,Canceled,18/05/2015
Resort Hotel,1,47,2015,July,27,2,2,5,G,G,Canceled,02/06/2015
Resort Hotel,0,0,2015,July,27,2,0,1,G,G,Check-Out,03/07/2015
Resort Hotel,0,10,2015,July,27,2,0,2,G,G,Check-Out,04/07/2015
Resort Hotel,0,10,2015,July,27,3,0,2,G,H,Check-Out,05/07/2015
Resort Hotel,0,2,2015,July,28,5,1,0,G,G,Check-Out,06/07/2015
Resort Hotel,0,44,2015,July,28,5,2,0,G,G,Check-Out,07/07/2015
Resort Hotel,0,115,2015,July,28,6,1,4,G,G,Check-Out,11/07/2015
Resort Hotel,0,51,2015,July,28,6,1,3,G,G,Check-Out,10/07/2015
Resort Hotel,0,81,2015,July,28,6,1,3,G,G,Check-Out,10/07/2015
Resort Hotel,0,51,2015,July,28,6,1,3,G,G,Check-Out,10/07/2015
Resort Hotel,0,68,2015,July,28,6,2,5,G,G,Check-Out,13/07/2015
Resort Hotel,1,44,2015,July,28,9,0,3,G,G,Canceled,16/06/2015
Resort Hotel,0,13,2015,July,28,10,0,2,G,G,Check-Out,12/07/2015
Resort Hotel,0,35,2015,July,28,10,2,3,G,G,Check-Out,15/07/2015
Resort Hotel,0,0,2015,July,28,11,0,1,G,G,Check-Out,12/07/2015
Resort Hotel,0,79,2015,July,28,11,2,6,G,G,Check-Out,19/07/2015
Resort Hotel,0,53,2015,July,29,12,1,0,G,G,Check-Out,13/07/2015
Resort Hotel,0,34,2015,July,29,12,2,0,G,G,Check-Out,14/07/2015
Resort Hotel,0,100,2015,July,29,12,2,2,G,G,Check-Out,16/07/2015
Resort Hotel,0,47,2015,July,29,13,2,5,G,G,Check-Out,20/07/2015
Resort Hotel,0,83,2015,July,29,15,2,7,G,G,Check-Out,24/07/2015
Resort Hotel,1,66,2015,July,29,16,0,2,G,G,Canceled,02/07/2015
Resort Hotel,0,24,2015,July,29,17,2,3,G,G,Check-Out,22/07/2015
Resort Hotel,0,23,2015,July,29,17,2,5,G,G,Check-Out,24/07/2015
Resort Hotel,1,23,2015,July,29,17,2,5,G,G,Canceled,24/06/2015
Resort Hotel,0,4,2015,July,29,18,1,1,G,G,Check-Out,20/07/2015
Resort Hotel,1,24,2015,July,30,19,2,4,G,G,Canceled,29/06/2015
Resort Hotel,1,47,2015,July,30,19,3,5,G,G,Canceled,14/07/2015
Resort Hotel,1,118,2015,July,30,20,1,2,G,G,Canceled,13/05/2015
Resort Hotel,1,60,2015,July,30,20,1,4,G,G,Canceled,17/06/2015
Resort Hotel,1,41,2015,July,30,20,1,5,G,G,Canceled,22/06/2015
Resort Hotel,1,118,2015,July,30,20,2,5,G,G,Canceled,23/04/2015
Resort Hotel,1,63,2015,July,30,21,0,4,G,G,Canceled,19/06/2015
Resort Hotel,0,8,2015,July,30,21,0,5,G,G,Check-Out,26/07/2015
Resort Hotel,1,44,2015,July,30,22,0,4,G,G,Canceled,09/06/2015
Resort Hotel,1,22,2015,July,30,24,0,2,G,G,Canceled,14/07/2015
Resort Hotel,0,47,2015,July,30,25,2,3,G,G,Check-Out,30/07/2015
Resort Hotel,0,50,2015,July,30,25,2,5,G,G,Check-Out,01/08/2015
Resort Hotel,1,48,2015,July,31,27,1,1,G,G,Canceled,03/07/2015
Resort Hotel,0,77,2015,July,31,27,1,4,G,G,Check-Out,01/08/2015
Resort Hotel,1,101,2015,July,31,27,2,5,G,G,Canceled,13/05/2015
Resort Hotel,1,63,2015,July,31,28,0,3,G,G,Canceled,07/07/2015
Resort Hotel,0,3,2015,July,31,30,0,3,G,G,Check-Out,02/08/2015
Resort Hotel,0,72,2015,July,31,31,2,2,G,G,Check-Out,04/08/2015
Resort Hotel,1,10,2015,August,31,1,0,1,G,G,Canceled,29/07/2015
Resort Hotel,1,24,2015,August,31,1,0,1,G,G,Canceled,16/07/2015
Resort Hotel,1,82,2015,August,31,1,2,5,G,G,Canceled,11/06/2015
Resort Hotel,0,9,2015,August,32,6,0,3,G,C,Check-Out,09/08/2015
Resort Hotel,0,136,2015,August,32,6,2,8,G,G,Check-Out,16/08/2015
Resort Hotel,1,4,2015,August,32,7,2,2,G,G,Canceled,04/08/2015
Resort Hotel,0,5,2015,August,32,8,1,1,G,H,Check-Out,10/08/2015
Resort Hotel,0,85,2015,August,32,8,2,2,G,G,Check-Out,12/08/2015
Resort Hotel,0,12,2015,August,32,8,2,5,G,G,Check-Out,15/08/2015
Resort Hotel,0,0,2015,August,33,9,1,0,G,G,Check-Out,10/08/2015
Resort Hotel,1,68,2015,August,33,9,2,5,G,G,Canceled,03/06/2015
Resort Hotel,0,136,2015,August,33,10,1,5,G,G,Check-Out,16/08/2015
Resort Hotel,0,62,2015,August,33,10,2,5,G,G,Check-Out,17/08/2015
Resort Hotel,1,78,2015,August,33,11,0,5,G,G,Canceled,25/06/2015
Resort Hotel,0,33,2015,August,33,12,0,1,G,G,Check-Out,13/08/2015
Resort Hotel,1,2,2015,August,33,12,0,3,G,G,No-Show,12/08/2015
Resort Hotel,0,0,2015,August,33,14,0,1,G,G,Check-Out,15/08/2015
Resort Hotel,1,34,2015,August,33,14,0,2,G,G,Canceled,04/08/2015
Resort Hotel,0,2,2015,August,33,15,2,2,G,G,Check-Out,19/08/2015
Resort Hotel,0,95,2015,August,34,16,4,5,G,G,Check-Out,25/08/2015
Resort Hotel,0,0,2015,August,34,20,0,1,G,G,Check-Out,21/08/2015
Resort Hotel,0,43,2015,August,35,25,2,8,G,G,Check-Out,04/09/2015
Resort Hotel,0,0,2015,August,35,26,0,1,G,G,Check-Out,27/08/2015
Resort Hotel,1,106,2015,August,35,26,2,7,G,G,Canceled,18/05/2015
Resort Hotel,1,42,2015,August,35,28,1,2,G,G,Canceled,24/07/2015
Resort Hotel,1,143,2015,August,36,30,2,5,G,G,Canceled,16/06/2015
Resort Hotel,1,124,2015,August,36,31,1,5,G,G,Canceled,29/04/2015
Resort Hotel,0,27,2015,September,36,1,2,6,G,G,Check-Out,09/09/2015
Resort Hotel,0,68,2015,September,36,2,2,5,G,G,Check-Out,09/09/2015
Resort Hotel,1,71,2015,September,36,2,2,5,G,G,Canceled,26/06/2015
Resort Hotel,1,149,2015,September,36,2,2,6,G,G,Canceled,10/04/2015
Resort Hotel,1,48,2015,September,36,3,2,8,G,I,No-Show,03/09/2015
Resort Hotel,1,105,2015,September,36,4,0,2,G,G,Canceled,04/06/2015
Resort Hotel,0,73,2015,September,36,4,2,7,G,G,Check-Out,13/09/2015
Resort Hotel,0,150,2015,September,36,4,3,7,G,G,Check-Out,14/09/2015
Resort Hotel,1,94,2015,September,36,5,2,5,G,G,No-Show,05/09/2015
Resort Hotel,1,1,2015,September,36,5,2,6,G,G,Canceled,04/09/2015
Resort Hotel,1,155,2015,September,36,5,3,6,G,G,Canceled,07/04/2015
Resort Hotel,0,90,2015,September,37,6,4,7,G,G,Check-Out,17/09/2015
Resort Hotel,0,157,2015,September,37,11,1,2,G,F,Check-Out,14/09/2015
Resort Hotel,1,101,2015,September,37,12,0,1,G,G,Canceled,23/06/2015
Resort Hotel,1,64,2015,September,38,16,0,3,G,G,Canceled,15/07/2015
