Hotel,Is_Canceled,Lead_Time,Arrival_Year,Arrival_Month,Arrival_Week_Number,Arrival_Day,Weekend_Nights,Week_Nights,Reserved_Room_Type,Assigned_Room_Type,Reservation_Status,Reservation_Status_Date
Resort Hotel,0,1,2015,July,27,2,0,1,H,H,Check-Out,03/07/2015
Resort Hotel,0,0,2015,July,27,2,0,1,H,H,Check-Out,03/07/2015
Resort Hotel,1,26,2015,July,27,4,2,5,H,H,Canceled,09/06/2015
Resort Hotel,0,2,2015,July,27,4,0,1,H,G,Check-Out,05/07/2015
Resort Hotel,0,32,2015,July,27,4,0,1,H,H,Check-Out,05/07/2015
Resort Hotel,0,39,2015,July,28,5,2,4,H,H,Check-Out,11/07/2015
Resort Hotel,1,34,2015,July,28,5,2,4,H,H,Canceled,17/06/2015
Resort Hotel,0,8,2015,July,28,5,4,5,H,H,Check-Out,14/07/2015
Resort Hotel,0,8,2015,July,28,7,0,4,H,H,Check-Out,11/07/2015
Resort Hotel,0,12,2015,July,28,9,0,2,H,G,Check-Out,11/07/2015
Resort Hotel,0,8,2015,July,29,12,2,3,H,H,Check-Out,17/07/2015
Resort Hotel,0,317,2015,July,29,14,1,5,H,G,Check-Out,20/07/2015
Resort Hotel,0,113,2015,July,29,14,4,11,H,H,Check-Out,29/07/2015
Resort Hotel,0,37,2015,July,29,15,2,6,H,H,Check-Out,23/07/2015
Resort Hotel,0,0,2015,July,29,16,0,2,H,G,Check-Out,18/07/2015
Resort Hotel,0,99,2015,July,29,17,2,6,H,H,Check-Out,25/07/2015
Resort Hotel,1,42,2015,July,29,18,2,3,H,H,Canceled,11/06/2015
Resort Hotel,1,19,2015,July,30,23,1,3,H,H,Canceled,06/07/2015
Resort Hotel,0,1,2015,July,30,24,1,2,H,H,Check-Out,27/07/2015
Resort Hotel,1,62,2015,July,30,24,2,6,H,H,Canceled,25/05/2015
Resort Hotel,1,48,2015,July,31,27,1,1,H,H,Canceled,03/07/2015
Resort Hotel,1,40,2015,July,31,29,1,4,H,H,Canceled,22/06/2015
Resort Hotel,0,0,2015,July,31,29,0,1,H,H,Check-Out,30/07/2015
Resort Hotel,0,32,2015,July,31,31,0,2,H,H,Check-Out,02/08/2015
Resort Hotel,1,49,2015,August,32,7,0,2,H,H,Canceled,22/06/2015
Resort Hotel,1,95,2015,August,33,10,2,5,H,H,Canceled,26/06/2015
Resort Hotel,1,94,2015,August,34,20,2,5,H,H,Canceled,15/07/2015
Resort Hotel,0,12,2015,August,34,22,2,5,H,H,Check-Out,29/08/2015
Resort Hotel,1,79,2015,August,35,23,2,3,H,H,Canceled,23/08/2015
Resort Hotel,1,83,2015,August,35,23,2,3,H,H,Canceled,31/07/2015
Resort Hotel,0,0,2015,August,35,28,0,2,H,H,Check-Out,30/08/2015
Resort Hotel,1,29,2015,August,35,28,2,5,H,H,Canceled,01/08/2015
Resort Hotel,1,15,2015,September,36,5,1,1,H,H,Canceled,21/08/2015
Resort Hotel,0,5,2015,September,37,6,0,0,H,H,Check-Out,06/09/2015
Resort Hotel,0,78,2015,September,37,6,2,5,H,H,Check-Out,13/09/2015
Resort Hotel,1,56,2015,September,37,10,0,3,H,H,Canceled,12/08/2015
Resort Hotel,0,1,2015,September,37,11,1,2,H,H,Check-Out,14/09/2015
Resort Hotel,0,11,2015,September,38,14,1,2,H,H,Check-Out,17/09/2015
Resort Hotel,0,1,2015,September,38,16,0,4,H,H,Check-Out,20/09/2015
Resort Hotel,0,0,2015,September,38,17,0,1,H,H,Check-Out,18/09/2015
Resort Hotel,0,2,2015,October,44,31,1,1,H,H,Check-Out,02/11/2015
Resort Hotel,0,0,2015,November,46,9,1,1,H,H,Check-Out,11/11/2015
Resort Hotel,1,3,2015,December,52,22,0,4,H,H,Canceled,20/12/2015
Resort Hotel,1,0,2015,December,52,25,0,1,H,H,No-Show,25/12/2015
Resort Hotel,1,77,2015,December,53,28,1,3,H,H,Canceled,19/10/2015
Resort Hotel,1,105,2015,December,53,28,1,4,H,H,Canceled,22/09/2015
Resort Hotel,1,55,2015,December,53,30,0,4,H,H,Canceled,15/12/2015
Resort Hotel,1,85,2015,December,53,31,0,1,H,H,Canceled,11/11/2015
Resort Hotel,0,109,2016,January,1,1,0,1,H,H,Check-Out,02/01/2016
Resort Hotel,1,22,2016,February,6,6,2,1,H,H,Canceled,18/01/2016
Resort Hotel,1,27,2016,February,7,11,0,3,H,H,No-Show,11/02/2016
Resort Hotel,1,41,2016,February,8,14,2,2,H,H,Canceled,14/01/2016
