Reservation Day,Check-in Day,Occupancy_duration,Decision,Cancel_Date,Type_Marked,Lead_Time
2023-01-01,2023-01-01,3,Confirmed,,Walk-in,0
2023-01-01,2023-01-01,3,Confirmed,,Walk-in,0
2023-01-01,2023-01-01,1,Confirmed,,Walk-in,0
2023-01-01,2023-01-01,6,Confirmed,,Walk-in,0
2023-01-01,2023-01-01,4,Confirmed,,Walk-in,0
2023-01-01,2023-01-01,6,Confirmed,,Walk-in,0
2023-01-01,2023-01-01,6,Confirmed,,Walk-in,0
2023-01-01,2023-01-01,4,Confirmed,,Walk-in,0
2023-01-01,2023-01-01,2,Confirmed,,Walk-in,0
2023-01-01,2023-01-01,3,Confirmed,,Walk-in,0
2023-01-01,2023-01-01,1,Confirmed,,Walk-in,0
2023-01-01,2023-01-01,4,Confirmed,,Walk-in,0
2023-01-01,2023-01-01,1,Confirmed,,Walk-in,0
2023-01-01,2023-01-01,4,Confirmed,,Walk-in,0
2023-01-01,2023-01-01,1,Confirmed,,Walk-in,0
2023-01-01,2023-01-01,1,Confirmed,,Walk-in,0
2023-01-01,2023-01-01,1,Confirmed,,Walk-in,0
2023-01-01,2023-01-01,1,Confirmed,,Walk-in,0
2023-01-01,2023-01-01,4,Confirmed,,Walk-in,0
2023-01-01,2023-01-01,4,Confirmed,,Walk-in,0
2023-01-01,2023-01-01,3,Confirmed,,Walk-in,0
2023-01-01,2023-01-01,1,Confirmed,,Walk-in,0
2023-01-01,2023-01-01,1,Confirmed,,Walk-in,0
2023-01-01,2023-01-01,1,Confirmed,,Walk-in,0
2023-01-01,2023-01-01,1,Confirmed,,Walk-in,0
2023-01-01,2023-01-01,7,Confirmed,,Walk-in,0
2023-01-01,2023-01-01,1,Confirmed,,Walk-in,0
2023-01-01,2023-01-01,2,Confirmed,,Walk-in,0
2023-01-01,2023-01-01,1,Confirmed,,Walk-in,0
2023-01-01,2023-01-01,1,Confirmed,,Walk-in,0
2023-01-01,2023-01-01,3,Confirmed,,Walk-in,0
2023-01-01,2023-01-01,3,Confirmed,,Walk-in,0
2023-01-01,2023-01-01,1,Confirmed,,Walk-in,0
2023-01-01,2023-01-01,1,Confirmed,,Walk-in,0
2023-01-01,2023-01-01,2,Confirmed,,Walk-in,0
2023-01-01,2023-01-01,1,Confirmed,,Walk-in,0
2023-01-01,2023-01-01,1,Confirmed,,Walk-in,0
2023-01-01,2023-01-01,10,Confirmed,,Walk-in,0
2023-01-01,2023-01-01,3,Confirmed,,Walk-in,0
2023-01-01,2023-01-01,3,Confirmed,,Walk-in,0
2023-01-01,2023-01-01,2,Confirmed,,Walk-in,0
2023-01-01,2023-01-01,2,Confirmed,,Walk-in,0
2023-01-01,2023-01-01,3,Confirmed,,Walk-in,0
2023-01-01,2023-01-01,4,Confirmed,,Walk-in,0
2023-01-01,2023-01-01,4,Confirmed,,Walk-in,0
