Date,Occupied
2015-07-01,18
2015-07-02,26
2015-07-03,36
2015-07-04,49
2015-07-05,64
2015-07-06,68
2015-07-07,72
2015-07-08,70
2015-07-09,79
2015-07-10,75
2015-07-11,75
2015-07-12,73
2015-07-13,76
2015-07-14,80
2015-07-15,90
2015-07-16,92
2015-07-17,94
2015-07-18,93
2015-07-19,87
2015-07-20,86
2015-07-21,90
2015-07-22,89
2015-07-23,86
2015-07-24,89
2015-07-25,91
2015-07-26,86
2015-07-27,96
2015-07-28,93
2015-07-29,101
2015-07-30,105
2015-07-31,93
2015-08-01,89
2015-08-02,82
2015-08-03,83
2015-08-04,80
2015-08-05,84
2015-08-06,79
2015-08-07,85
2015-08-08,84
2015-08-09,93
2015-08-10,88
2015-08-11,87
2015-08-12,86
2015-08-13,85
2015-08-14,87
2015-08-15,81
2015-08-16,82
2015-08-17,82
2015-08-18,79
2015-08-19,83
2015-08-20,78
2015-08-21,77
2015-08-22,79
2015-08-23,82
2015-08-24,82
2015-08-25,80
2015-08-26,80
2015-08-27,79
2015-08-28,82
2015-08-29,91
2015-08-30,81
2015-08-31,74
2015-09-01,84
2015-09-02,86
2015-09-03,81
2015-09-04,88
2015-09-05,87
2015-09-06,82
2015-09-07,82
2015-09-08,81
2015-09-09,81
2015-09-10,82
2015-09-11,88
2015-09-12,97
2015-09-13,90
2015-09-14,109
2015-09-15,109
2015-09-16,85
2015-09-17,91
2015-09-18,83
2015-09-19,91
2015-09-20,91
2015-09-21,91
2015-09-22,93
2015-09-23,92
2015-09-24,97
2015-09-25,86
2015-09-26,100
2015-09-27,96
2015-09-28,96
2015-09-29,91
2015-09-30,95
2015-10-01,100
2015-10-02,99
2015-10-03,90
2015-10-04,95
2015-10-05,107
2015-10-06,102
2015-10-07,100
2015-10-08,105
2015-10-09,89
2015-10-10,109
2015-10-11,81
2015-10-12,73
2015-10-13,64
2015-10-14,73
2015-10-15,129
2015-10-16,127
2015-10-17,126
2015-10-18,125
2015-10-19,109
2015-10-20,108
2015-10-21,126
2015-10-22,126
2015-10-23,115
2015-10-24,98
2015-10-25,76
2015-10-26,66
2015-10-27,75
2015-10-28,66
2015-10-29,60
2015-10-30,62
2015-10-31,85
2015-11-01,44
2015-11-02,42
2015-11-03,74
2015-11-04,72
2015-11-05,69
2015-11-06,73
2015-11-07,93
2015-11-08,95
2015-11-09,105
2015-11-10,105
2015-11-11,112
2015-11-12,128
2015-11-13,120
2015-11-14,113
2015-11-15,32
2015-11-16,42
2015-11-17,49
2015-11-18,101
2015-11-19,85
2015-11-20,106
2015-11-21,143
2015-11-22,73
2015-11-23,75
2015-11-24,51
2015-11-25,49
2015-11-26,44
2015-11-27,57
2015-11-28,61
2015-11-29,20
2015-11-30,40
2015-12-01,53
2015-12-02,56
2015-12-03,60
2015-12-04,26
2015-12-05,114
2015-12-06,117
2015-12-07,102
2015-12-08,23
2015-12-09,42
2015-12-10,37
2015-12-11,31
2015-12-12,39
2015-12-13,18
2015-12-14,27
2015-12-15,29
2015-12-16,33
2015-12-17,30
2015-12-18,24
2015-12-19,31
2015-12-20,21
2015-12-21,34
2015-12-22,48
2015-12-23,48
2015-12-24,66
2015-12-25,86
2015-12-26,74
2015-12-27,72
2015-12-28,66
2015-12-29,39
2015-12-30,100
2015-12-31,97
2016-01-01,99
2016-01-02,85
2016-01-03,36
2016-01-04,48
2016-01-05,51
2016-01-06,49
2016-01-07,44
2016-01-08,26
2016-01-09,35
2016-01-10,34
2016-01-11,48
2016-01-12,60
2016-01-13,48
2016-01-14,58
2016-01-15,47
2016-01-16,50
2016-01-17,32
2016-01-18,51
2016-01-19,55
2016-01-20,57
2016-01-21,41
2016-01-22,39
2016-01-23,50
2016-01-24,19
2016-01-25,25
2016-01-26,44
2016-01-27,32
2016-01-28,36
2016-01-29,27
2016-01-30,32
2016-01-31,22
2016-02-01,44
2016-02-02,51
2016-02-03,53
2016-02-04,69
2016-02-05,68
2016-02-06,92
2016-02-07,86
2016-02-08,77
2016-02-09,59
2016-02-10,63
2016-02-11,46
2016-02-12,75
2016-02-13,105
2016-02-14,48
2016-02-15,47
2016-02-16,62
2016-02-17,71
2016-02-18,60
2016-02-19,47
2016-02-20,45
2016-02-21,28
2016-02-22,59
2016-02-23,68
2016-02-24,64
2016-02-25,66
2016-02-26,80
2016-02-27,114
2016-02-28,108
2016-02-29,54
2016-03-01,66
2016-03-02,69
2016-03-03,54
2016-03-04,67
2016-03-05,66
2016-03-06,36
2016-03-07,77
2016-03-08,94
2016-03-09,107
2016-03-10,98
2016-03-11,109
2016-03-12,88
2016-03-13,40
2016-03-14,68
2016-03-15,84
2016-03-16,87
2016-03-17,97
2016-03-18,75
2016-03-19,87
2016-03-20,68
2016-03-21,85
2016-03-22,91
2016-03-23,72
2016-03-24,87
2016-03-25,86
2016-03-26,83
2016-03-27,36
2016-03-28,50
2016-03-29,62
2016-03-30,85
2016-03-31,129
2016-04-01,129
2016-04-02,128
2016-04-03,97
2016-04-04,96
2016-04-05,97
2016-04-06,71
2016-04-07,100
2016-04-08,98
2016-04-09,110
2016-04-10,81
2016-04-11,98
2016-04-12,99
2016-04-13,105
2016-04-14,100
2016-04-15,81
2016-04-16,88
2016-04-17,68
2016-04-18,91
2016-04-19,105
2016-04-20,74
2016-04-21,61
2016-04-22,87
2016-04-23,88
2016-04-24,84
2016-04-25,60
2016-04-26,66
2016-04-27,94
2016-04-28,81
2016-04-29,82
2016-04-30,93
2016-05-01,101
2016-05-02,101
2016-05-03,103
2016-05-04,86
2016-05-05,96
2016-05-06,80
2016-05-07,94
2016-05-08,101
2016-05-09,106
2016-05-10,87
2016-05-11,94
2016-05-12,109
2016-05-13,106
2016-05-14,100
2016-05-15,83
2016-05-16,80
2016-05-17,95
2016-05-18,79
2016-05-19,90
2016-05-20,83
2016-05-21,86
2016-05-22,81
2016-05-23,85
2016-05-24,91
2016-05-25,91
2016-05-26,98
2016-05-27,95
2016-05-28,116
2016-05-29,97
2016-05-30,74
2016-05-31,87
2016-06-01,82
2016-06-02,88
2016-06-03,77
2016-06-04,82
2016-06-05,80
2016-06-06,81
2016-06-07,79
2016-06-08,81
2016-06-09,77
2016-06-10,79
