Type,Reservation Day,Check-in Day,Occupancy_duration,Decision,Cancel_Date
True,175,182,1,1,
True,169,182,1,1,
True,168,182,2,1,
True,168,182,2,1,
True,97,182,3,0,2015-05-06
True,170,182,1,1,
True,182,182,1,1,
True,110,182,6,1,
True,110,182,6,1,
True,105,182,7,1,
True,64,182,14,1,
True,114,183,6,1,
True,168,183,4,1,
True,76,183,7,1,
True,87,183,7,1,
True,93,183,7,1,
True,90,183,11,1,
True,180,183,1,1,
True,183,183,1,1,
True,169,183,2,1,
True,90,183,3,1,
True,180,183,3,0,2015-06-29
True,181,184,2,1,
True,113,184,2,0,2015-06-16
True,121,184,2,0,2015-06-18
True,83,184,2,0,2015-06-12
True,182,184,2,1,
True,169,184,2,1,
True,133,184,2,0,2015-06-09
True,181,184,3,1,
True,182,184,4,1,
True,112,184,4,1,
True,85,184,9,1,
True,181,184,10,0,2015-05-19
True,185,184,10,1,
True,103,184,10,0,2015-06-09
True,105,184,21,0,2015-04-15
True,172,184,1,1,
True,175,184,1,1,
True,183,184,1,1,
True,75,184,1,1,
True,75,184,2,0,2015-05-26
True,112,184,2,0,2015-06-29
True,181,185,3,1,
True,90,185,6,1,
True,83,185,7,0,2015-04-22
True,70,185,7,1,
True,83,185,7,1,
True,133,185,7,1,
True,76,185,8,1,
True,134,185,1,0,2015-05-29
True,112,185,1,0,2015-05-13
True,85,185,2,1,
True,184,185,2,1,
True,85,185,2,1,
True,85,185,2,1,
True,177,186,1,1,
True,186,186,1,1,
True,177,186,1,1,
True,184,186,1,1,
True,184,186,1,1,
True,177,186,1,1,
True,77,186,5,1,
True,96,186,6,1,
True,85,186,7,0,2015-03-30
True,90,186,14,1,
True,76,187,4,1,
True,76,187,0,1,
True,185,187,1,1,
True,180,187,2,1,
True,121,187,4,1,
True,83,187,4,1,
True,89,187,6,1,
True,101,187,7,0,2015-06-26
True,294,187,7,1,
True,76,187,8,1,
True,75,187,10,1,
True,107,187,11,1,
True,76,187,14,1,
True,121,188,2,0,2015-05-07
True,133,188,3,1,
True,180,188,0,1,
True,180,188,0,1,
True,188,188,1,1,
True,188,188,1,1,
True,188,188,4,1,
True,145,188,5,0,2015-05-28
True,261,188,7,0,2015-03-25
True,182,189,4,1,
True,188,189,4,1,
True,76,189,4,0,2015-05-28
True,106,189,4,1,
True,84,189,4,0,2015-06-29
True,189,189,1,1,
True,188,189,1,0,2015-07-08
True,188,189,1,0,2015-07-08
True,188,189,2,1,
True,87,189,5,0,2015-05-28
True,107,189,8,1,
True,122,190,2,1,
True,112,190,3,1,
True,173,190,4,0,2015-06-23
True,87,190,4,0,2015-06-27
True,174,190,4,1,
True,176,190,5,1,
True,113,190,5,1,
True,100,190,7,1,
True,100,190,7,1,
True,306,190,7,1,
True,121,190,8,0,2015-05-13
True,181,191,1,1,
True,169,191,2,1,
True,100,191,2,1,
True,168,191,2,1,
True,180,191,2,1,
True,188,191,2,1,
True,100,191,2,1,
True,170,191,3,1,
True,112,191,5,1,
True,113,191,7,1,
True,76,191,9,1,
True,92,192,5,0,2015-05-29
True,148,192,5,1,
True,253,192,6,1,
True,122,192,6,1,
True,83,192,7,0,2015-04-22
True,192,192,1,1,
True,192,192,1,1,
True,192,192,1,1,
True,108,192,2,1,
True,121,192,2,1,
True,184,192,3,1,
True,152,192,7,1,
True,82,192,7,1,
True,191,193,1,1,
True,185,193,6,1,
True,121,193,6,0,2015-05-12
True,181,193,7,1,
True,103,193,7,1,
True,134,193,7,1,
True,103,193,7,1,
True,142,193,7,0,2015-07-03
True,181,193,9,1,
True,129,193,9,1,
True,134,193,11,1,
True,112,193,7,1,
True,192,193,1,1,
True,180,193,2,1,
True,192,193,2,1,
True,159,193,2,1,
True,184,193,3,1,
True,169,193,3,0,2015-06-22
True,96,193,4,1,
True,79,194,7,1,
True,115,194,7,0,2015-05-13
True,103,194,7,1,
True,96,194,2,1,
True,85,194,2,1,
True,194,194,2,1,
True,96,194,2,1,
True,185,194,2,1,
True,132,194,2,1,
True,140,194,3,1,
True,143,194,3,1,
True,140,194,3,1,
True,194,194,4,1,
True,238,194,5,0,2015-03-05
True,93,194,5,1,
True,113,194,6,0,2015-04-24
True,96,194,6,0,2015-05-12
True,122,194,6,1,
True,79,194,7,1,
True,99,194,7,0,2015-04-15
True,178,194,1,1,
True,138,194,4,1,
True,106,194,8,1,
True,194,195,1,1,
True,194,195,1,1,
True,195,195,4,1,
True,119,195,5,1,
True,122,195,6,1,
True,83,195,7,0,2015-04-06
True,189,195,7,1,
True,187,195,7,1,
True,99,195,9,0,2015-04-11
True,99,195,9,0,2015-04-11
True,96,195,9,1,
True,129,195,11,1,
True,195,195,1,1,
True,134,196,3,0,2015-07-03
True,139,196,2,1,
True,139,196,2,1,
True,139,196,2,1,
True,139,196,2,1,
True,139,196,2,1,
True,139,196,2,1,
True,139,196,2,1,
True,139,196,2,0,2015-07-13
True,139,196,2,1,
True,139,196,2,1,
True,139,196,2,1,
True,139,196,2,1,
True,139,196,2,1,
True,139,196,2,1,
True,139,196,2,1,
True,139,196,2,1,
True,139,196,2,1,
True,139,196,2,1,
True,139,196,2,1,
True,139,196,2,1,
True,184,197,2,1,
True,149,197,1,0,2015-06-05
True,131,197,2,0,2015-07-02
True,184,197,2,1,
True,131,197,2,1,
True,187,197,3,0,2015-07-13
True,139,197,3,0,2015-06-19
True,180,197,3,0,2015-06-30
True,178,197,3,1,
True,134,197,4,1,
True,84,197,6,1,
True,129,197,7,1,
True,84,197,8,1,
True,192,198,0,1,
True,191,198,2,1,
True,196,198,2,1,
True,183,198,2,0,2015-07-06
True,191,198,2,0,2015-07-13
True,187,198,2,1,
True,192,198,2,1,
True,183,198,2,1,
True,195,198,2,1,
True,175,198,3,0,2015-07-04
True,145,198,5,1,
True,145,198,5,1,
True,104,198,5,1,
True,134,198,5,1,
True,145,198,5,1,
True,145,198,5,1,
True,134,198,5,1,
True,145,198,5,1,
True,145,198,7,1,
True,108,198,7,1,
True,155,198,7,1,
True,108,198,7,1,
True,133,198,8,1,
True,106,198,3,1,
True,107,198,3,1,
True,185,198,3,1,
True,248,198,3,1,
True,190,198,3,1,
True,107,198,3,1,
True,195,198,3,1,
True,189,198,4,1,
True,91,199,6,1,
True,173,199,4,1,
True,103,199,4,0,2015-04-29
True,171,199,5,1,
True,104,199,7,1,
True,105,199,7,1,
True,105,199,7,1,
True,142,199,8,1,
True,142,199,8,1,
True,112,199,14,1,
True,200,200,1,1,
True,200,200,1,1,
True,200,200,1,1,
True,181,200,1,1,
True,156,200,4,1,
True,134,200,5,1,
True,140,200,7,0,2015-05-27
True,83,200,7,1,
True,153,200,6,1,
True,96,200,6,0,2015-07-02
True,187,201,1,1,
True,201,201,0,1,
True,201,201,0,1,
True,122,201,4,1,
True,138,201,4,1,
True,133,201,4,1,
True,105,201,4,1,
True,160,201,5,1,
True,149,201,6,1,
True,119,201,7,1,
True,159,201,7,1,
True,115,201,7,0,2015-05-11
True,149,201,9,0,2015-06-02
True,194,201,11,0,2015-07-14
True,194,201,11,0,2015-07-14
True,197,202,2,1,
True,121,202,3,0,2015-06-01
True,141,202,4,1,
True,113,202,6,1,
True,100,202,7,1,
True,94,202,8,1,
True,173,202,10,1,
True,107,203,4,0,2015-04-22
True,149,204,1,0,2015-06-05
True,185,204,3,0,2015-07-07
True,169,205,1,0,2015-07-22
True,183,205,2,1,
True,183,205,2,1,
True,169,205,2,1,
True,183,205,2,1,
True,166,205,2,1,
True,160,205,3,0,2015-06-17
True,191,205,4,1,
True,152,205,4,0,2015-06-08
True,177,205,4,1,
True,150,205,5,1,
True,150,205,5,1,
True,180,205,7,1,
True,162,205,7,0,2015-07-14
True,96,205,7,0,2015-04-22
True,162,205,9,1,
True,163,205,10,0,2015-06-26
True,258,205,14,0,2015-07-21
True,159,206,3,1,
True,166,206,1,1,
True,195,206,1,1,
True,167,206,1,1,
True,167,206,1,0,2015-07-11
True,194,206,2,0,2015-07-14
True,190,206,2,0,2015-07-10
True,190,206,2,0,2015-07-23
True,194,206,2,1,
True,155,206,3,1,
True,139,206,4,1,
True,154,206,5,1,
True,112,206,5,1,
True,152,206,5,0,2015-06-26
True,163,206,6,1,
True,119,206,6,0,2015-06-02
True,152,206,7,1,
True,177,206,7,0,2015-06-27
True,110,206,7,0,2015-05-12
True,106,206,7,0,2015-04-17
True,152,206,7,1,
True,175,206,7,1,
True,181,206,8,0,2015-07-03
True,146,206,8,1,
True,175,206,9,0,2015-06-29
True,99,206,9,0,2015-04-15
True,91,206,10,1,
True,121,206,14,0,2015-07-03
True,206,206,7,1,
True,272,206,7,0,2015-03-25
True,91,207,5,0,2015-06-18
True,160,207,3,1,
True,159,207,3,1,
True,153,207,6,0,2015-06-03
True,153,207,6,0,2015-06-03
True,173,207,2,1,
True,168,207,8,0,2015-06-17
True,168,207,8,0,2015-06-17
True,162,207,7,1,
True,177,208,0,1,
True,160,208,2,0,2015-06-15
True,112,208,3,1,
True,157,208,3,1,
True,112,208,3,1,
True,167,208,4,0,2015-06-17
True,181,208,4,1,
True,180,208,4,1,
True,178,208,4,1,
True,163,208,4,1,
True,177,208,4,1,
True,134,208,4,0,2015-06-29
True,121,208,4,0,2015-05-09
True,160,208,4,1,
True,175,208,5,0,2015-06-25
True,178,208,5,1,
True,174,208,5,0,2015-07-06
True,275,208,6,0,2015-03-17
True,173,208,6,1,
True,168,208,6,1,
True,107,208,7,0,2015-05-13
True,170,208,7,1,
True,177,209,4,1,
True,180,209,4,1,
True,160,209,6,1,
True,99,209,10,1,
True,91,210,4,0,2015-04-04
True,180,210,4,1,
True,139,210,5,1,
True,173,210,5,0,2015-07-27
True,173,210,5,1,
True,173,210,5,0,2015-07-27
True,173,210,5,1,
True,113,210,5,1,
True,139,210,5,0,2015-05-23
True,108,210,7,1,
True,176,210,6,1,
True,105,210,7,0,2015-04-15
True,163,210,8,0,2015-06-17
True,174,211,1,1,
True,211,211,1,0,2015-07-30
True,203,211,1,0,2015-07-30
True,194,211,2,1,
True,181,211,3,0,2015-07-06
True,145,211,3,0,2015-06-11
True,191,211,4,1,
True,181,211,3,0,2015-07-06
True,146,211,4,0,2015-06-11
True,147,211,5,0,2015-06-08
True,170,212,0,1,
True,187,212,1,0,2015-07-06
True,196,212,2,1,
True,208,212,2,0,2015-07-31
True,187,212,2,0,2015-07-06
True,129,212,2,0,2015-06-16
True,156,212,2,0,2015-07-21
True,212,212,2,1,
True,194,212,3,0,2015-07-15
True,189,212,3,0,2015-07-14
True,173,212,3,0,2015-07-11
True,194,212,3,0,2015-07-15
True,189,212,3,0,2015-07-14
True,291,212,4,1,
True,76,212,4,0,2015-07-09
True,84,213,2,1,
True,129,213,3,0,2015-05-12
True,129,213,3,0,2015-05-12
True,133,213,1,0,2015-07-16
True,210,213,7,1,
True,89,213,6,0,2015-06-06
True,122,213,7,0,2015-05-22
True,83,213,7,0,2015-05-19
True,122,213,7,0,2015-06-06
True,83,213,8,0,2015-05-22
True,202,213,14,1,
True,189,214,1,0,2015-07-08
True,212,214,2,0,2015-08-01
True,119,214,6,1,
True,154,214,7,1,
True,121,214,7,1,
True,84,215,7,0,2015-03-28
True,133,215,7,0,2015-07-06
True,154,215,7,0,2015-07-23
True,122,216,0,1,
True,216,216,1,1,
True,155,216,3,0,2015-07-06
True,76,216,7,1,
True,210,216,7,1,
True,76,216,7,1,
True,215,217,1,1,
True,103,217,3,0,2015-07-04
True,173,217,4,1,
True,78,217,4,1,
True,78,217,4,1,
True,133,217,7,1,
True,100,217,8,0,2015-04-22
True,149,218,1,0,2015-06-05
True,216,218,1,1,
True,100,218,3,0,2015-05-20
True,211,218,5,1,
True,215,218,6,1,
True,218,219,1,1,
True,215,219,2,1,
True,121,219,4,1,
True,173,219,4,0,2015-07-14
True,136,219,4,1,
True,176,219,6,0,2015-06-27
True,106,219,7,0,2015-05-14
True,106,219,7,0,2015-05-14
True,154,219,9,1,
True,220,220,1,1,
True,114,220,2,0,2015-07-09
True,216,220,3,1,
True,217,220,4,1,
True,83,220,4,0,2015-04-06
True,166,220,7,1,
True,94,220,7,1,
True,136,220,7,0,2015-05-16
True,114,220,7,0,2015-08-08
True,84,220,7,1,
True,122,220,7,1,
True,129,220,7,0,2015-05-14
True,216,221,1,1,
True,156,221,5,0,2015-06-22
True,92,221,5,0,2015-04-06
True,99,221,6,0,2015-05-27
True,180,221,6,0,2015-07-17
True,162,221,7,1,
True,149,221,7,1,
True,140,221,7,1,
True,153,221,7,1,
True,94,221,14,0,2015-06-03
True,94,221,14,0,2015-06-03
True,150,222,2,0,2015-06-04
True,192,222,3,1,
True,187,222,6,1,
True,147,222,6,0,2015-06-02
True,145,222,6,0,2015-07-08
True,184,222,7,0,2015-07-14
