Type,Reservation Day,Check-in Day,Occupancy_duration,Decision,Cancel_Date,Type_Marked,Lead_Time
True,2015-06-24,2015-07-01,1,1,,Reservation,7
True,2015-06-18,2015-07-01,1,1,,Reservation,13
True,2015-06-17,2015-07-01,2,1,,Reservation,14
True,2015-06-17,2015-07-01,2,1,,Reservation,14
True,2015-04-07,2015-07-01,3,0,2015-05-06,Reservation,85
True,2015-06-19,2015-07-01,1,1,,Reservation,12
True,2015-07-01,2015-07-01,1,1,,Walk-in,0
True,2015-04-20,2015-07-01,6,1,,Reservation,72
True,2015-04-20,2015-07-01,6,1,,Reservation,72
True,2015-04-15,2015-07-01,7,1,,Reservation,77
True,2015-03-05,2015-07-01,14,1,,Reservation,118
True,2015-04-24,2015-07-02,6,1,,Reservation,69
True,2015-06-17,2015-07-02,4,1,,Reservation,15
True,2015-03-17,2015-07-02,7,1,,Reservation,107
True,2015-03-28,2015-07-02,7,1,,Reservation,96
True,2015-04-03,2015-07-02,7,1,,Reservation,90
True,2015-03-31,2015-07-02,11,1,,Reservation,93
True,2015-06-29,2015-07-02,1,1,,Reservation,3
True,2015-07-02,2015-07-02,1,1,,Walk-in,0
True,2015-06-18,2015-07-02,2,1,,Reservation,14
True,2015-03-31,2015-07-02,3,1,,Reservation,93
True,2015-06-29,2015-07-02,3,0,2015-06-29,Reservation,3
True,2015-06-30,2015-07-03,2,1,,Reservation,3
True,2015-04-23,2015-07-03,2,0,2015-06-16,Reservation,71
True,2015-05-01,2015-07-03,2,0,2015-06-18,Reservation,63
True,2015-03-24,2015-07-03,2,0,2015-06-12,Reservation,101
True,2015-07-01,2015-07-03,2,1,,Reservation,2
True,2015-06-18,2015-07-03,2,1,,Reservation,15
True,2015-05-13,2015-07-03,2,0,2015-06-09,Reservation,51
True,2015-06-30,2015-07-03,3,1,,Reservation,3
True,2015-07-01,2015-07-03,4,1,,Reservation,2
True,2015-04-22,2015-07-03,4,1,,Reservation,72
True,2015-03-26,2015-07-03,9,1,,Reservation,99
True,2014-06-30,2015-07-03,10,0,2015-05-19,Reservation,368
True,2014-07-04,2015-07-03,10,1,,Reservation,364
True,2015-04-13,2015-07-03,10,0,2015-06-09,Reservation,81
True,2015-04-15,2015-07-03,21,0,2015-04-15,Reservation,79
True,2015-06-21,2015-07-03,1,1,,Reservation,12
True,2015-06-24,2015-07-03,1,1,,Reservation,9
True,2015-07-02,2015-07-03,1,1,,Reservation,1
True,2015-03-16,2015-07-03,1,1,,Reservation,109
True,2015-03-16,2015-07-03,2,0,2015-05-26,Reservation,109
True,2015-04-22,2015-07-03,2,0,2015-06-29,Reservation,72
True,2015-06-30,2015-07-04,3,1,,Reservation,4
True,2015-03-31,2015-07-04,6,1,,Reservation,95
True,2015-03-24,2015-07-04,7,0,2015-04-22,Reservation,102
True,2015-03-11,2015-07-04,7,1,,Reservation,115
True,2015-03-24,2015-07-04,7,1,,Reservation,102
True,2015-05-13,2015-07-04,7,1,,Reservation,52
True,2015-03-17,2015-07-04,8,1,,Reservation,109
True,2015-05-14,2015-07-04,1,0,2015-05-29,Reservation,51
True,2015-04-22,2015-07-04,1,0,2015-05-13,Reservation,73
True,2015-03-26,2015-07-04,2,1,,Reservation,100
True,2015-07-03,2015-07-04,2,1,,Reservation,1
True,2015-03-26,2015-07-04,2,1,,Reservation,100
True,2015-03-26,2015-07-04,2,1,,Reservation,100
True,2015-06-26,2015-07-05,1,1,,Reservation,9
True,2015-07-05,2015-07-05,1,1,,Walk-in,0
True,2015-06-26,2015-07-05,1,1,,Reservation,9
True,2015-07-03,2015-07-05,1,1,,Reservation,2
True,2015-07-03,2015-07-05,1,1,,Reservation,2
True,2015-06-26,2015-07-05,1,1,,Reservation,9
True,2015-03-18,2015-07-05,5,1,,Reservation,109
True,2015-04-06,2015-07-05,6,1,,Reservation,90
