Type,Reservation Day,Check-in Day,Occupancy_duration,Decision
True,183,182,1,1
True,183,182,1,1
True,184,182,2,1
True,184,182,2,1
True,126,182,3,0
True,183,182,1,1
True,183,182,1,1
True,188,182,6,1
True,188,182,6,1
True,189,182,7,1
True,196,182,14,1
True,189,183,6,1
True,187,183,4,1
True,190,183,7,1
True,190,183,7,1
True,190,183,7,1
True,194,183,11,1
True,184,183,1,1
True,184,183,1,1
True,185,183,2,1
True,186,183,3,1
True,180,183,3,0
True,186,184,2,1
True,167,184,2,0
True,169,184,2,0
True,163,184,2,0
True,186,184,2,1
True,186,184,2,1
True,160,184,2,0
True,187,184,3,1
True,188,184,4,1
True,188,184,4,1
True,193,184,9,1
True,139,184,10,0
True,194,184,10,1
True,160,184,10,0
True,105,184,21,0
True,185,184,1,1
True,185,184,1,1
True,185,184,1,1
True,185,184,1,1
True,146,184,2,0
True,180,184,2,0
True,188,185,3,1
True,191,185,6,1
True,112,185,7,0
True,192,185,7,1
True,192,185,7,1
True,192,185,7,1
True,193,185,8,1
True,149,185,1,0
True,133,185,1,0
True,187,185,2,1
True,187,185,2,1
True,187,185,2,1
True,187,185,2,1
True,187,186,1,1
True,187,186,1,1
True,187,186,1,1
True,187,186,1,1
True,187,186,1,1
True,187,186,1,1
True,191,186,5,1
True,192,186,6,1
True,89,186,7,0
True,200,186,14,1
True,191,187,4,1
True,187,187,0,1
True,188,187,1,1
True,189,187,2,1
True,191,187,4,1
True,191,187,4,1
True,193,187,6,1
True,177,187,7,0
True,194,187,7,1
True,195,187,8,1
True,197,187,10,1
True,198,187,11,1
True,201,187,14,1
True,127,188,2,0
True,191,188,3,1
True,188,188,0,1
True,188,188,0,1
True,189,188,1,1
True,189,188,1,1
True,192,188,4,1
True,148,188,5,0
True,84,188,7,0
True,193,189,4,1
True,193,189,4,1
True,148,189,4,0
True,193,189,4,1
True,180,189,4,0
True,190,189,1,1
True,189,189,1,0
True,189,189,1,0
True,191,189,2,1
True,148,189,5,0
True,197,189,8,1
True,192,190,2,1
True,193,190,3,1
True,174,190,4,0
True,178,190,4,0
True,194,190,4,1
True,195,190,5,1
True,195,190,5,1
True,197,190,7,1
True,197,190,7,1
True,197,190,7,1
True,133,190,8,0
True,192,191,1,1
True,193,191,2,1
True,193,191,2,1
True,193,191,2,1
True,193,191,2,1
True,193,191,2,1
True,193,191,2,1
True,194,191,3,1
True,196,191,5,1
True,198,191,7,1
True,200,191,9,1
True,149,192,5,0
True,197,192,5,1
True,198,192,6,1
True,198,192,6,1
True,112,192,7,0
True,193,192,1,1
True,193,192,1,1
True,193,192,1,1
True,194,192,2,1
True,194,192,2,1
True,195,192,3,1
True,199,192,7,1
True,199,192,7,1
True,194,193,1,1
True,199,193,6,1
True,132,193,6,0
True,200,193,7,1
True,193,193,7,1
True,200,193,7,1
True,200,193,7,1
True,184,193,7,0
True,202,193,9,1
True,202,193,9,1
True,204,193,11,1
True,200,193,7,1
True,194,193,1,1
True,195,193,2,1
True,195,193,2,1
True,195,193,2,1
True,196,193,3,1
True,173,193,3,0
True,197,193,4,1
True,201,194,7,1
True,133,194,7,0
True,201,194,7,1
True,196,194,2,1
True,196,194,2,1
True,196,194,2,1
True,196,194,2,1
True,196,194,2,1
True,196,194,2,1
True,197,194,3,1
True,197,194,3,1
True,197,194,3,1
True,198,194,4,1
True,64,194,5,0
True,199,194,5,1
True,114,194,6,0
True,132,194,6,0
True,200,194,6,1
True,201,194,7,1
True,105,194,7,0
True,195,194,1,1
True,198,194,4,1
True,202,194,8,1
True,196,195,1,1
True,196,195,1,1
True,199,195,4,1
True,200,195,5,1
True,201,195,6,1
