Reservation_Status_Date,Assigned_Type_A_Count,Reserved_Type_A_Count
01/01/2015,3.0,3
01/01/2016,1.0,5
01/01/2017,30.0,34
01/02/2016,4.0,10
01/02/2017,36.0,60
01/03/2016,24.0,29
01/03/2017,20.0,22
01/04/2016,7.0,12
01/04/2017,8.0,21
01/05/2015,1.0,1
01/05/2016,0.0,4
01/05/2017,15.0,26
01/06/2015,1.0,1
01/06/2016,21.0,28
01/06/2017,44.0,57
01/07/2015,3.0,3
01/07/2016,12.0,15
01/07/2017,21.0,29
01/08/2015,30.0,36
01/08/2016,17.0,28
01/08/2017,18.0,18
01/09/2015,22.0,26
01/09/2016,26.0,33
01/09/2017,8.0,10
01/10/2015,15.0,20
01/10/2016,8.0,9
01/11/2015,44.0,64
01/11/2016,30.0,39
01/12/2015,24.0,29
01/12/2016,6.0,13
02/01/2015,12.0,12
02/01/2016,21.0,29
02/01/2017,27.0,30
02/02/2015,2.0,2
02/02/2016,16.0,28
02/02/2017,20.0,40
02/03/2016,17.0,28
02/03/2017,27.0,33
02/04/2015,15.0,15
02/04/2016,8.0,11
02/04/2017,19.0,23
02/05/2016,36.0,49
02/05/2017,31.0,43
02/06/2015,7.0,7
02/06/2016,24.0,30
02/06/2017,14.0,21
02/07/2015,6.0,12
02/07/2016,15.0,19
02/07/2017,14.0,21
02/08/2015,20.0,25
02/08/2016,23.0,26
02/08/2017,12.0,17
02/09/2015,48.0,52
02/09/2016,28.0,35
02/09/2017,16.0,18
02/10/2015,17.0,26
02/10/2016,17.0,16
02/11/2015,17.0,21
02/11/2016,36.0,42
02/12/2015,39.0,49
02/12/2016,14.0,17
03/01/2016,45.0,68
03/01/2017,16.0,20
03/02/2016,17.0,34
03/02/2017,27.0,35
03/03/2015,36.0,36
03/03/2016,23.0,42
03/03/2017,4.0,11
03/04/2015,1.0,1
03/04/2016,19.0,43
03/04/2017,22.0,40
03/05/2016,17.0,23
03/05/2017,20.0,24
03/06/2015,4.0,5
03/06/2016,23.0,32
03/06/2017,22.0,31
03/07/2015,7.0,9
03/07/2016,21.0,27
03/07/2017,20.0,22
03/08/2015,17.0,26
03/08/2016,18.0,19
03/08/2017,17.0,21
03/09/2015,20.0,30
03/09/2016,13.0,17
03/09/2017,14.0,17
03/10/2015,18.0,31
03/10/2016,20.0,28
03/11/2015,23.0,25
03/11/2016,19.0,21
03/12/2015,9.0,18
03/12/2016,23.0,36
04/01/2016,13.0,22
04/01/2017,15.0,23
04/02/2016,15.0,35
04/02/2017,21.0,31
04/03/2015,2.0,2
04/03/2016,54.0,80
04/03/2017,5.0,6
04/04/2015,7.0,7
04/04/2016,59.0,88
04/04/2017,24.0,28
04/05/2016,40.0,47
04/05/2017,12.0,22
04/06/2015,4.0,4
04/06/2016,8.0,9
04/06/2017,15.0,21
04/07/2015,5.0,9
04/07/2016,24.0,25
04/07/2017,24.0,25
04/08/2015,12.0,20
04/08/2016,27.0,29
04/08/2017,15.0,18
04/09/2015,9.0,14
04/09/2016,15.0,19
04/09/2017,2.0,2
04/10/2015,9.0,15
04/10/2016,24.0,26
04/11/2015,14.0,18
04/11/2016,20.0,40
04/12/2015,30.0,52
04/12/2016,37.0,53
05/01/2016,68.0,72
05/01/2017,29.0,36
05/02/2015,3.0,3
05/02/2016,42.0,72
05/02/2017,18.0,40
05/03/2015,1.0,1
05/03/2016,9.0,16
05/03/2017,19.0,37
05/04/2016,10.0,25
05/04/2017,27.0,32
05/05/2016,26.0,29
05/05/2017,18.0,22
05/06/2015,4.0,4
05/06/2016,14.0,17
05/06/2017,15.0,16
05/07/2015,4.0,6
05/07/2016,19.0,23
05/07/2017,11.0,13
05/08/2015,11.0,13
05/08/2016,11.0,14
05/08/2017,13.0,17
05/09/2015,7.0,10
05/09/2016,20.0,21
05/09/2017,9.0,9
05/10/2015,15.0,21
05/10/2016,29.0,35
05/11/2015,16.0,19
05/11/2016,24.0,28
05/12/2015,3.0,7
05/12/2016,5.0,10
06/01/2016,8.0,18
06/01/2017,37.0,41
06/02/2015,1.0,1
06/02/2016,10.0,13
06/02/2017,21.0,26
06/03/2015,1.0,1
06/03/2016,22.0,41
06/03/2017,40.0,53
06/04/2015,3.0,3
06/04/2016,57.0,70
06/04/2017,15.0,26
06/05/2015,2.0,2
06/05/2016,59.0,68
06/05/2017,19.0,20
06/06/2015,2.0,2
06/06/2016,20.0,29
06/06/2017,6.0,6
06/07/2015,19.0,28
06/07/2016,5.0,6
06/07/2017,15.0,17
06/08/2015,13.0,16
06/08/2016,16.0,18
06/08/2017,21.0,22
06/09/2015,17.0,23
06/09/2016,5.0,6
06/09/2017,4.0,4
06/10/2015,9.0,22
06/10/2016,46.0,69
06/11/2015,10.0,18
06/11/2016,22.0,31
06/12/2015,1.0,7
06/12/2016,13.0,20
07/01/2016,11.0,21
07/01/2017,17.0,25
07/02/2016,16.0,33
07/02/2017,17.0,25
07/03/2016,16.0,17
07/03/2017,27.0,33
07/04/2016,14.0,27
07/04/2017,20.0,30
07/05/2015,1.0,1
07/05/2016,17.0,22
07/05/2017,29.0,35
07/06/2016,35.0,36
07/06/2017,16.0,25
07/07/2015,31.0,34
07/07/2016,9.0,12
07/07/2017,13.0,16
07/08/2015,9.0,13
07/08/2016,19.0,21
07/08/2017,14.0,16
07/09/2015,18.0,27
07/09/2016,14.0,15
07/09/2017,7.0,7
07/10/2015,17.0,23
07/10/2016,11.0,13
07/11/2015,11.0,17
07/11/2016,26.0,36
07/12/2015,17.0,28
07/12/2016,21.0,49
08/01/2016,27.0,44
08/01/2017,27.0,38
08/02/2016,14.0,23
08/02/2017,33.0,50
08/03/2016,11.0,22
08/03/2017,21.0,26
08/04/2015,1.0,1
08/04/2016,21.0,41
08/04/2017,11.0,16
08/05/2015,2.0,2
08/05/2016,20.0,23
08/05/2017,24.0,34
08/06/2015,2.0,2
08/06/2016,13.0,16
